Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,2nd Flr SF,Full Bath,Year Built,Year Remod/Add,TotRms AbvGrd,Lot Area,Fireplaces,BsmtFin SF 1,MS SubClass,Lot Frontage,SalePrice
6,1656,2.0,528.0,1080.0,1656,0,1,1960,1960,7,31770,2,639.0,20,141.0,215000
5,896,1.0,730.0,882.0,896,0,1,1961,1961,5,11622,0,468.0,20,80.0,105000
6,1329,1.0,312.0,1329.0,1329,0,1,1958,1958,6,14267,0,923.0,20,81.0,172000
7,2110,2.0,522.0,2110.0,2110,0,2,1968,1968,8,11160,2,1065.0,20,93.0,244000
5,1629,2.0,482.0,928.0,928,701,2,1997,1998,6,13830,1,791.0,60,74.0,189900
6,1604,2.0,470.0,926.0,926,678,2,1998,1998,7,9978,1,602.0,60,78.0,195500
8,1338,2.0,582.0,1338.0,1338,0,2,2001,2001,6,4920,0,616.0,120,41.0,213500
8,1280,2.0,506.0,1280.0,1280,0,2,1992,1992,5,5005,0,263.0,120,43.0,191500
8,1616,2.0,608.0,1595.0,1616,0,2,1995,1996,5,5389,1,1180.0,120,39.0,236500
7,1804,2.0,442.0,994.0,1028,776,2,1999,1999,7,7500,1,0.0,60,60.0,189000
6,1655,2.0,440.0,763.0,763,892,2,1993,1994,7,10000,1,0.0,60,75.0,175900
6,1187,2.0,420.0,1168.0,1187,0,2,1992,2007,6,7980,0,935.0,20,69.22459016393442,185000
6,1465,2.0,393.0,789.0,789,676,2,1998,1998,7,8402,1,0.0,60,63.0,180400
7,1341,2.0,506.0,1300.0,1341,0,1,1990,1990,5,10176,1,637.0,20,85.0,171500
8,1502,2.0,528.0,1488.0,1502,0,1,1985,1985,4,6820,0,368.0,120,69.22459016393442,212000
8,3279,3.0,841.0,1650.0,1690,1589,3,2003,2003,12,53504,1,1416.0,60,47.0,538000
8,1752,2.0,492.0,559.0,1080,672,2,1988,2005,8,12134,0,427.0,50,152.0,164000
9,1856,3.0,834.0,1856.0,1856,0,1,2010,2010,8,11394,1,1445.0,20,88.0,394432
4,864,2.0,400.0,864.0,864,0,1,1951,1951,4,19138,0,120.0,20,140.0,141000
6,2073,2.0,500.0,1542.0,2073,0,2,1978,1988,7,13175,2,790.0,20,85.0,210000
6,1844,2.0,546.0,1844.0,1844,0,2,1977,1977,7,11751,1,705.0,20,105.0,190000
7,1173,2.0,528.0,1053.0,1173,0,2,1974,1974,6,10625,2,885.0,85,85.0,170000
7,1674,2.0,663.0,814.0,814,860,2,2000,2000,7,7500,0,533.0,60,69.22459016393442,216000
6,1004,2.0,480.0,1004.0,1004,0,1,1970,1970,5,11241,1,578.0,20,69.22459016393442,149000
5,1078,2.0,500.0,1078.0,1078,0,1,1971,2008,6,12537,1,734.0,20,69.22459016393442,149900
5,1056,1.0,304.0,1056.0,1056,0,1,1968,1968,6,8450,1,775.0,20,65.0,142000
4,882,2.0,525.0,882.0,882,0,1,1970,1970,4,8400,0,804.0,20,70.0,126000
4,864,0.0,0.0,864.0,864,0,1,1971,1971,5,10500,1,432.0,20,70.0,115000
7,1337,2.0,511.0,1405.0,1337,0,2,1999,1999,5,5858,1,1051.0,120,26.0,184000
6,987,1.0,264.0,483.0,483,504,1,1971,1971,5,1680,0,156.0,160,21.0,96000
5,1092,1.0,320.0,525.0,525,567,1,1971,1971,6,1680,0,300.0,160,21.0,105500
6,1092,1.0,264.0,525.0,525,567,1,1971,1971,6,1680,0,0.0,160,21.0,88000
6,1069,2.0,440.0,1069.0,1069,0,2,1977,1977,4,4043,1,360.0,120,53.0,127500
6,1456,2.0,440.0,855.0,855,601,2,1975,1975,6,2280,1,514.0,160,24.0,149900
7,836,1.0,308.0,836.0,836,0,1,1975,1975,4,2280,0,0.0,120,24.0,120000
6,1456,2.0,440.0,855.0,855,601,2,1978,1978,7,2280,1,311.0,160,24.0,146000
9,2334,3.0,751.0,1590.0,1627,707,2,2009,2010,10,12858,1,0.0,60,102.0,376162
8,1704,3.0,772.0,1704.0,1704,0,2,2007,2008,7,11478,1,1218.0,20,98.0,306000
9,1940,3.0,606.0,1930.0,1940,0,2,2009,2010,8,10159,1,1646.0,20,83.0,395192
8,1544,3.0,868.0,1544.0,1544,0,2,2009,2010,7,12883,0,0.0,20,94.0,290941
7,1541,2.0,532.0,1541.0,1541,0,2,2005,2005,7,12182,1,1201.0,20,95.0,220000
9,1698,3.0,730.0,1698.0,1698,0,2,2005,2005,7,11520,1,110.0,20,90.0,275000
8,1822,3.0,678.0,1822.0,1822,0,2,2005,2006,8,14122,1,28.0,20,79.0,259000
7,1535,2.0,532.0,1517.0,1535,0,2,2004,2004,7,10171,0,2.0,20,70.0,214000
9,2364,3.0,820.0,2330.0,2364,0,2,2009,2010,11,12919,2,2188.0,20,100.0,611657
7,1358,2.0,484.0,1358.0,1358,0,2,2009,2010,6,6371,1,733.0,120,44.0,224000
9,2696,3.0,958.0,2846.0,2696,0,2,2003,2004,10,14300,2,1373.0,20,110.0,500000
8,2250,3.0,756.0,1671.0,1687,563,2,2002,2002,7,13650,1,578.0,60,105.0,320000
