DATE,BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max,BASEL_picnic_weather
20000101,8,0.89,1.0286,0.2,0.03,0.0,2.9,1.6,3.9,False
20000102,8,0.87,1.0318,0.25,0.0,0.0,3.6,2.7,4.8,False
20000103,5,0.81,1.0314,0.5,0.0,3.7,2.2,0.1,4.8,False
20000104,7,0.79,1.0262,0.63,0.35,6.9,3.9,0.5,7.5,False
20000105,5,0.9,1.0246,0.51,0.07,3.7,6.0,3.8,8.6,False
20000106,3,0.85,1.0244,0.56,0.0,5.7,4.2,1.9,6.9,False
20000107,8,0.84,1.0267,0.2,0.0,0.0,4.7,1.8,6.2,False
20000108,4,0.79,1.0248,0.54,0.0,4.3,5.6,4.1,8.4,False
20000109,8,0.88,1.0243,0.11,0.65,0.0,4.6,3.8,5.7,False
20000110,8,0.91,1.0337,0.06,0.09,0.0,2.4,1.4,3.8,False
20000111,8,0.88,1.0373,0.06,0.0,0.0,3.2,2.6,3.9,False
20000112,8,0.77,1.0319,0.1,0.0,0.0,2.4,0.8,3.0,False
20000113,1,0.78,1.0226,0.66,0.0,7.5,1.7,-0.2,5.0,False
20000114,0,0.8,1.023,0.69,0.0,7.6,0.6,-1.0,3.8,False
20000115,6,0.85,1.0311,0.51,0.0,2.8,-1.3,-2.9,1.5,False
20000116,7,0.8,1.0346,0.23,0.0,0.3,-0.4,-2.1,1.8,False
20000117,8,0.79,1.0328,0.33,0.0,0.1,0.9,-3.2,4.2,False
20000118,7,0.83,1.0267,0.18,0.03,0.0,4.5,3.8,5.3,False
20000119,7,0.69,1.0307,0.38,0.0,0.7,2.4,-0.7,3.9,False
20000120,5,0.72,1.0333,0.53,0.0,3.2,0.4,-2.7,2.9,False
20000121,8,0.74,1.0297,0.18,0.0,0.0,2.5,1.6,3.5,False
20000122,8,0.8,1.017,0.09,0.12,0.0,3.1,1.9,3.9,False
20000123,8,0.86,1.0151,0.33,0.42,0.0,2.0,-0.1,3.5,False
20000124,7,0.78,1.0235,0.29,0.02,0.0,-4.0,-7.6,-0.2,False
20000125,2,0.61,1.0302,0.87,0.0,8.1,-6.5,-8.5,-3.7,False
20000126,0,0.71,1.0354,0.84,0.0,8.1,-6.8,-10.6,-3.2,False
20000127,1,0.76,1.0342,0.89,0.0,8.4,-5.2,-8.7,-0.7,False
20000128,5,0.78,1.0269,0.53,0.0,2.2,-1.7,-6.2,4.8,False
20000129,8,0.65,1.0166,0.11,0.13,0.0,7.4,3.7,9.5,False
20000130,8,0.74,1.0224,0.1,0.02,0.0,10.0,9.0,10.7,False
20000131,5,0.74,1.0304,0.42,0.0,1.6,8.1,3.5,10.6,False
20000201,3,0.84,1.0248,0.88,0.0,5.8,5.4,1.1,11.2,False
20000202,8,0.89,1.0221,0.13,0.99,0.0,5.5,2.8,8.5,False
20000203,5,0.74,1.0361,0.55,0.0,2.9,5.2,1.8,8.4,False
20000204,1,0.78,1.0391,0.96,0.0,8.3,3.3,-0.9,8.3,False
20000205,3,0.65,1.0343,0.94,0.0,8.1,6.9,1.9,13.7,False
20000206,4,0.7,1.0274,0.69,0.0,3.0,6.0,2.6,11.9,False
20000207,8,0.67,1.0239,0.33,0.01,0.3,7.6,3.3,11.3,False
20000208,8,0.72,1.017,0.35,0.44,0.1,11.4,8.7,14.1,False
20000209,6,0.72,1.0281,0.55,0.09,1.9,5.6,3.9,9.4,False
20000210,3,0.67,1.0264,1.11,1.27,8.0,6.2,1.9,11.1,False
20000211,8,0.84,1.0286,0.13,0.02,0.0,4.2,3.0,7.0,False
20000212,7,0.71,1.0297,0.26,0.13,0.4,2.8,1.5,4.3,False
20000213,7,0.77,1.025,0.15,0.04,0.0,5.6,2.8,7.6,False
20000214,7,0.82,1.0252,0.51,0.15,0.7,7.0,4.6,9.7,False
20000215,7,0.8,1.0197,0.49,1.22,1.2,8.3,6.7,10.9,False
20000216,6,0.79,1.0103,0.62,0.48,1.5,4.4,0.9,9.7,False
20000217,6,0.78,1.0134,0.44,0.02,0.9,2.1,0.6,3.9,False
20000218,8,0.8,1.0127,0.25,0.39,0.1,4.2,0.6,9.5,False
20000219,7,0.77,1.0123,0.5,0.25,0.4,6.0,3.6,8.3,False
20000220,7,0.85,1.0269,0.28,0.14,0.0,1.9,-0.7,4.0,False
20000221,4,0.72,1.031,1.27,0.0,8.5,1.3,-2.2,5.6,False
20000222,3,0.68,1.0273,1.35,0.0,9.6,2.1,-1.1,7.4,False
20000223,8,0.67,1.0289,0.88,0.0,1.8,2.7,-1.3,7.1,False
20000224,8,0.76,1.0306,0.37,0.0,0.0,3.5,-0.2,6.1,False
20000225,8,0.76,1.0287,0.32,0.45,0.0,9.5,5.8,11.5,False
20000226,8,0.85,1.0315,0.56,0.04,0.0,7.4,5.2,9.9,False
20000227,2,0.76,1.0283,1.43,0.0,9.0,9.0,4.5,14.5,False
20000228,5,0.61,1.0219,1.39,0.42,8.5,11.0,4.2,19.5,False
20000229,8,0.8,1.0179,0.25,0.9,0.0,8.1,6.3,10.2,False
20000301,8,0.81,1.0099,0.35,0.36,0.0,5.8,3.5,9.7,False
20000302,7,0.64,1.0258,1.04,0.0,3.8,4.4,2.4,7.2,False
20000303,8,0.59,1.0185,0.46,0.53,0.1,7.5,4.3,9.5,False
20000304,5,0.61,1.0234,1.28,0.0,7.1,5.1,0.2,8.5,False
20000305,1,0.54,1.0357,1.68,0.0,10.6,1.7,-2.2,6.4,False
20000306,2,0.56,1.0322,1.69,0.0,10.6,3.9,-1.2,10.3,False
20000307,1,0.61,1.0299,1.58,0.0,10.5,6.4,-0.1,13.7,False
20000308,7,0.68,1.0306,1.03,0.56,2.4,9.2,3.4,15.0,False
20000309,7,0.53,1.0278,1.15,0.0,3.9,14.1,10.1,19.3,True
20000310,7,0.74,1.0283,0.63,0.0,2.1,10.3,6.0,12.9,False
20000311,7,0.66,1.0225,1.43,0.0,5.9,11.1,6.0,16.7,False
20000312,6,0.65,1.0243,1.43,0.0,6.9,9.3,3.6,13.2,False
20000313,1,0.69,1.026,1.72,0.04,9.8,7.5,1.0,13.9,False
20000314,8,0.7,1.0242,0.63,0.56,0.4,10.5,7.2,13.4,False
20000315,5,0.61,1.0306,1.23,0.0,4.0,5.4,0.9,8.2,False
20000316,8,0.73,1.032,0.36,0.05,0.0,5.4,0.5,8.4,False
20000317,8,0.78,1.0285,0.38,0.03,0.0,8.1,6.4,10.4,False
20000318,8,0.79,1.0268,0.45,0.17,0.0,7.4,5.4,8.8,False
20000319,8,0.79,1.0287,0.67,0.0,0.3,6.5,5.0,9.2,False
20000320,2,0.5,1.0257,1.88,0.0,9.8,6.9,1.7,12.1,False
20000321,2,0.56,1.0217,1.95,0.0,11.1,8.2,1.2,15.3,False
20000322,1,0.54,1.019,1.95,0.0,11.0,10.3,3.2,18.5,True
20000323,6,0.6,1.0148,1.1,0.02,3.0,11.0,4.9,17.2,False
20000324,7,0.65,1.014,0.8,0.0,1.8,11.1,8.3,14.5,False
20000325,6,0.62,1.0158,1.71,0.0,8.2,10.9,6.5,17.0,False
20000326,8,0.69,1.0127,0.95,0.24,0.9,8.0,5.4,11.1,False
20000327,7,0.74,1.0089,1.04,0.02,2.1,6.0,3.3,9.5,False
20000328,7,0.78,1.0104,0.81,0.07,0.6,5.7,2.9,10.1,False
20000329,8,0.87,1.0083,0.18,0.47,0.0,3.8,2.7,5.2,False
20000330,8,0.7,1.0133,0.68,0.0,0.0,5.7,3.8,7.7,False
20000331,6,0.61,1.0088,1.6,0.29,5.3,8.7,4.5,13.8,False
20000401,6,0.77,1.008,0.95,0.0,1.2,7.1,3.8,10.2,False
20000402,4,0.62,1.0028,2.1,0.54,10.7,9.2,2.0,16.2,False
20000403,7,0.6,0.992,1.29,0.0,3.9,12.9,7.4,19.7,True
20000404,7,0.68,0.9942,1.72,0.28,4.8,11.5,5.2,19.7,False
20000405,7,0.84,1.0063,0.7,0.56,0.0,8.6,4.6,11.3,False
20000406,8,0.84,1.0242,0.23,0.0,0.0,3.8,1.0,5.4,False
20000407,2,0.63,1.0289,2.43,0.0,12.3,5.9,-1.6,13.9,False
20000408,1,0.53,1.0216,2.48,0.0,12.4,9.1,0.4,16.9,False
20000409,5,0.55,1.0097,1.59,0.0,5.8,10.3,3.5,16.1,False
