DATE,DRESDEN_cloud_cover,DRESDEN_wind_speed,DRESDEN_wind_gust,DRESDEN_humidity,DRESDEN_global_radiation,DRESDEN_precipitation,DRESDEN_sunshine,DRESDEN_temp_mean,DRESDEN_temp_min,DRESDEN_temp_max,DRESDEN_picnic_weather
20000101,8,3.2,7.2,0.89,0.09,0.32,0.0,1.0,-1.8,2.0,False
20000102,7,4.0,8.8,0.89,0.23,0.0,0.4,2.5,1.4,4.0,False
20000103,7,5.4,12.1,0.79,0.18,0.0,0.0,4.2,1.3,5.1,False
20000104,8,6.0,14.4,0.88,0.11,0.22,0.0,4.4,3.4,5.2,False
20000105,2,5.6,15.8,0.76,0.49,0.0,5.7,1.8,-0.5,6.9,False
20000106,1,5.2,9.0,0.81,0.55,0.03,7.3,1.5,-2.7,6.3,False
20000107,5,3.4,6.7,0.93,0.29,0.02,1.0,2.0,-0.1,5.4,False
20000108,4,4.5,8.4,0.79,0.22,0.0,2.3,3.6,-0.3,5.3,False
20000109,8,2.7,5.9,0.95,0.09,0.15,0.0,1.9,1.3,4.0,False
20000110,8,1.8,4.9,0.92,0.29,0.0,0.7,0.6,-1.0,3.7,False
20000111,3,2.6,6.3,0.84,0.48,0.0,5.6,-0.7,-2.4,3.0,False
20000112,0,5.0,12.5,0.77,0.6,0.0,7.6,-2.5,-4.8,0.9,False
20000113,0,7.8,14.5,0.76,0.57,0.0,7.1,-4.4,-5.2,-2.1,False
20000114,8,4.2,9.1,0.78,0.37,0.0,1.8,-1.7,-5.9,0.0,False
20000115,8,2.7,7.2,0.92,0.14,0.0,0.0,-1.4,-2.2,-0.8,False
20000116,8,4.5,12.0,0.92,0.16,0.34,0.0,-0.2,-4.8,1.3,False
20000117,8,9.2,18.1,0.95,0.08,0.86,0.0,4.8,1.2,5.6,False
20000118,5,8.2,18.0,0.8,0.28,0.7,1.1,2.2,0.1,5.9,False
20000119,4,6.0,12.4,0.8,0.41,0.0,1.6,-1.0,-1.9,0.9,False
20000120,8,8.9,19.7,0.9,0.09,0.62,0.0,1.1,-2.8,2.0,False
20000121,6,7.6,27.8,0.8,0.3,0.03,0.7,-1.8,-4.3,2.6,False
20000122,8,3.3,7.3,0.92,0.26,0.23,0.0,-2.2,-4.1,-0.2,False
20000123,3,3.4,7.9,0.82,0.61,0.0,5.0,-8.2,-10.9,-2.0,False
20000124,5,3.0,7.5,0.89,0.48,0.04,2.7,-8.2,-13.3,-5.7,False
20000125,3,3.2,7.6,0.73,0.87,0.0,8.3,-6.9,-11.8,-5.1,False
20000126,8,7.2,12.1,0.87,0.32,0.02,0.0,-1.0,-7.1,0.0,False
20000127,8,7.6,13.5,0.83,0.18,0.0,0.0,0.7,0.0,1.3,False
20000128,8,8.3,14.0,0.61,0.38,0.0,0.8,1.2,-0.7,2.3,False
20000129,8,10.9,22.2,0.77,0.12,1.27,0.0,5.8,1.4,7.4,False
20000130,6,8.4,20.7,0.68,0.58,0.29,3.8,4.7,3.1,7.4,False
20000131,5,9.9,28.2,0.81,0.17,0.58,0.2,7.4,3.4,9.5,False
20000201,6,5.7,11.8,0.78,0.27,0.01,0.9,6.9,5.0,8.7,False
20000202,7,6.7,13.1,0.81,0.14,0.28,0.0,6.0,4.8,8.2,False
20000203,6,8.1,18.1,0.85,0.42,0.04,2.2,3.0,1.7,5.5,False
20000204,7,7.1,16.4,0.79,0.54,0.21,1.4,5.2,0.9,6.9,False
20000205,5,6.7,14.9,0.83,0.43,0.0,1.2,8.9,5.6,11.6,False
20000206,5,3.8,9.6,0.68,0.53,0.0,1.6,10.0,6.5,15.0,False
20000207,7,6.6,16.5,0.71,0.23,0.05,0.0,7.8,5.5,10.4,False
20000208,7,9.3,20.9,0.71,0.32,0.5,0.0,10.1,5.9,11.3,False
20000209,8,10.2,22.7,0.79,0.46,0.16,1.4,4.0,1.6,11.4,False
20000210,7,6.5,14.0,0.64,0.58,0.27,3.7,5.9,4.2,8.2,False
20000211,5,4.6,13.9,0.85,0.31,0.0,0.1,2.7,1.0,7.6,False
20000212,4,4.7,13.0,0.69,1.0,0.02,7.2,2.2,-2.3,6.1,False
20000213,7,6.0,15.9,0.89,0.29,0.46,0.8,2.4,0.8,5.9,False
20000214,7,5.8,15.4,0.77,0.42,0.15,0.4,1.1,-0.7,3.9,False
20000215,8,5.0,15.5,0.91,0.31,0.39,0.3,4.9,-1.0,8.0,False
20000216,5,5.1,18.2,0.83,0.46,0.11,2.0,1.8,-0.2,6.8,False
20000217,6,4.5,10.2,0.81,0.59,0.15,2.0,0.5,-1.2,3.1,False
20000218,7,4.3,11.2,0.76,0.77,0.07,2.6,1.1,-3.7,4.4,False
20000219,8,2.8,7.4,0.94,0.26,0.66,0.0,2.9,0.3,4.3,False
20000220,7,3.3,6.4,0.97,0.24,0.16,0.0,-0.4,-1.2,3.3,False
20000221,5,2.9,7.6,0.87,0.8,0.0,2.5,-2.1,-3.5,0.7,False
20000222,7,4.0,9.2,0.9,0.32,0.31,0.1,-0.8,-5.7,0.7,False
20000223,7,2.1,5.0,0.92,0.55,0.0,0.3,1.2,-0.1,4.1,False
20000224,8,5.6,13.5,0.9,0.43,0.96,0.5,4.0,-1.2,6.4,False
20000225,5,4.6,10.8,0.94,0.2,0.76,0.0,1.2,0.1,5.9,False
20000226,7,4.3,9.0,0.83,0.48,0.0,0.1,3.2,1.2,5.4,False
20000227,2,5.0,11.5,0.65,1.41,0.0,9.7,5.2,-1.0,9.5,False
20000228,7,7.8,13.5,0.52,1.14,0.24,7.0,10.1,4.2,13.0,False
20000229,7,5.2,14.6,0.76,0.69,0.07,1.6,7.0,4.2,12.1,False
20000301,7,5.9,16.3,0.78,0.59,0.18,1.4,5.7,3.8,8.7,False
20000302,7,6.5,15.2,0.8,0.9,0.44,3.0,2.2,1.8,5.6,False
20000303,8,9.7,26.2,0.77,0.28,0.09,0.1,5.2,1.2,9.0,False
20000304,7,7.1,17.1,0.82,0.59,0.07,0.9,0.6,-0.8,4.0,False
20000305,6,7.6,16.1,0.87,0.8,0.02,1.6,-0.4,-2.1,1.1,False
20000306,7,6.7,14.3,0.67,1.4,0.0,7.0,5.1,-0.4,8.1,False
20000307,7,9.3,17.9,0.75,0.7,0.26,0.8,7.7,5.0,10.6,False
20000308,8,10.1,18.2,0.9,0.25,0.84,0.0,9.2,7.3,10.3,False
20000309,8,10.9,24.3,0.88,0.43,1.41,0.6,8.4,5.9,12.3,False
20000310,7,4.9,14.8,0.76,0.83,0.53,2.8,2.4,1.1,5.9,False
20000311,7,8.6,20.8,0.9,0.58,0.32,1.0,6.4,1.8,9.6,False
20000312,8,3.0,15.0,0.8,0.29,0.04,0.0,2.2,1.3,5.9,False
20000313,7,3.1,6.6,0.86,0.77,0.15,1.0,4.6,1.7,7.3,False
20000314,8,6.9,16.1,0.9,0.51,1.11,0.0,5.9,3.6,10.2,False
20000315,7,7.9,19.6,0.86,0.96,0.84,3.2,0.6,-0.3,4.2,False
20000316,8,5.2,17.8,0.9,0.65,1.1,1.0,2.1,0.0,4.3,False
20000317,7,4.3,12.8,0.78,0.7,0.01,1.6,1.9,-0.1,3.8,False
20000318,4,2.2,5.1,0.73,1.61,0.0,8.1,1.6,-2.2,5.5,False
20000319,5,3.9,10.7,0.72,0.76,0.0,1.1,2.4,-1.2,6.2,False
20000320,7,3.6,8.5,0.85,0.83,0.0,0.7,3.6,-1.3,7.4,False
20000321,6,3.8,7.8,0.95,0.31,0.0,0.0,3.4,2.7,5.0,False
20000322,1,3.7,7.5,0.77,1.95,0.0,9.8,6.9,0.1,14.9,False
20000323,3,3.6,7.6,0.78,1.79,0.0,9.9,7.6,2.1,13.0,False
20000324,8,3.4,6.8,0.92,0.49,0.25,0.0,7.6,3.7,9.0,False
20000325,6,3.9,10.0,0.82,0.51,0.0,0.2,8.4,7.5,11.1,False
20000326,6,3.7,9.7,0.83,1.11,1.95,5.2,7.7,3.9,14.8,False
20000327,8,3.0,7.2,0.99,0.21,1.14,0.0,3.9,3.4,6.4,False
20000328,8,2.7,6.2,0.96,0.28,0.07,0.0,2.8,1.8,3.6,False
20000329,8,4.9,13.0,0.92,0.75,0.07,0.8,6.6,2.6,8.5,False
20000330,8,6.3,15.0,0.93,0.26,0.29,0.0,4.6,3.8,7.7,False
20000331,8,4.3,10.0,0.93,0.58,0.13,0.5,5.0,3.8,7.5,False
20000401,6,2.4,5.3,0.76,0.95,0.0,0.9,6.9,4.4,10.5,False
20000402,6,2.6,7.6,0.62,1.9,0.0,8.7,8.4,3.6,13.2,False
20000403,4,5.2,12.8,0.64,2.21,0.0,11.3,10.0,5.3,14.1,False
20000404,4,4.6,13.7,0.72,1.03,0.03,4.6,10.7,8.9,14.9,False
20000405,7,5.1,11.1,0.77,0.64,0.0,2.7,4.7,2.0,10.5,False
