DATE,DUSSELDORF_cloud_cover,DUSSELDORF_wind_speed,DUSSELDORF_wind_gust,DUSSELDORF_humidity,DUSSELDORF_pressure,DUSSELDORF_global_radiation,DUSSELDORF_precipitation,DUSSELDORF_sunshine,DUSSELDORF_temp_mean,DUSSELDORF_temp_min,DUSSELDORF_temp_max,DUSSELDORF_picnic_weather
20000101,8,2.5,5.9,0.92,1.024,0.12,0.22,0.0,4.2,2.5,6.9,False
20000102,6,3.0,7.4,0.87,1.0283,0.19,0.0,0.7,6.5,2.7,7.9,False
20000103,7,5.5,14.3,0.78,1.0235,0.12,0.28,0.0,7.7,6.9,9.1,False
20000104,7,6.0,16.8,0.87,1.0162,0.12,0.97,0.0,7.8,6.6,9.2,False
20000105,4,4.5,11.2,0.8,1.0203,0.51,0.0,6.5,5.2,0.4,8.6,False
20000106,6,5.5,12.3,0.83,1.0174,0.34,0.18,2.8,7.6,4.3,10.4,False
20000107,6,4.5,9.4,0.79,1.0219,0.32,0.0,2.5,6.6,4.7,8.7,False
20000108,8,4.7,9.5,0.85,1.0192,0.12,0.12,0.0,6.6,5.4,7.9,False
20000109,6,1.2,5.2,0.94,1.0251,0.12,0.0,0.0,2.5,0.5,6.8,False
20000110,8,1.3,4.3,0.96,1.0359,0.13,0.0,0.0,1.1,0.4,2.4,False
20000111,3,4.4,9.3,0.86,1.0376,0.49,0.0,5.4,0.7,-0.5,2.9,False
20000112,4,5.5,10.7,0.79,1.0304,0.52,0.0,6.0,2.1,-0.9,4.6,False
20000113,6,4.3,9.1,0.73,1.0195,0.13,0.02,0.0,1.3,-0.7,3.5,False
20000114,8,2.2,5.4,0.85,1.0214,0.13,0.0,0.0,3.3,-1.0,4.8,False
20000115,7,2.5,10.1,0.77,1.0334,0.21,0.0,0.6,2.5,1.1,4.2,False
20000116,8,2.6,8.4,0.93,1.0353,0.14,0.23,0.0,4.2,0.7,5.7,False
20000117,8,5.0,10.3,0.9,1.0294,0.14,0.13,0.0,6.2,5.1,7.0,False
20000118,6,7.0,16.2,0.78,1.0245,0.18,0.1,0.2,5.9,4.9,8.1,False
20000119,7,4.3,8.8,0.79,1.0302,0.14,0.02,0.0,4.1,3.7,5.1,False
20000120,7,4.6,12.1,0.87,1.0298,0.17,0.08,0.1,4.0,1.6,5.0,False
20000121,7,5.6,13.7,0.79,1.0248,0.23,0.08,0.6,4.6,3.5,7.2,False
20000122,7,5.3,12.5,0.86,1.0118,0.19,0.52,0.2,4.1,2.6,5.4,False
20000123,6,4.0,9.7,0.83,1.0167,0.15,0.08,0.0,-0.8,-3.4,4.0,False
20000124,3,2.0,6.2,0.66,1.0254,0.71,0.0,8.1,-2.6,-7.3,1.0,False
20000125,5,2.6,5.2,0.66,1.0292,0.6,0.0,5.7,-1.1,-3.9,2.1,False
20000126,7,3.5,6.4,0.72,1.0323,0.16,0.0,0.0,1.4,-2.5,2.8,False
20000127,3,4.8,9.4,0.69,1.029,0.61,0.0,5.6,0.2,-2.7,4.5,False
20000128,6,6.8,14.2,0.69,1.0175,0.19,0.36,0.1,2.5,-3.0,4.2,False
20000129,8,10.6,19.6,0.89,0.9998,0.17,1.64,0.0,8.3,4.0,10.3,False
20000130,7,6.9,21.4,0.81,1.0108,0.17,0.25,0.0,9.4,6.5,10.6,False
20000131,8,8.4,20.8,0.81,1.0199,0.17,0.05,0.0,9.9,9.1,11.0,False
20000201,7,6.3,12.3,0.75,1.0189,0.18,0.03,0.0,8.8,7.3,10.0,False
20000202,5,5.1,10.7,0.84,1.0172,0.41,0.14,2.0,6.4,4.5,9.1,False
20000203,6,4.4,9.4,0.81,1.0311,0.26,0.0,0.4,6.2,4.2,7.8,False
20000204,8,6.3,12.4,0.82,1.0332,0.19,0.31,0.0,7.2,4.9,8.8,False
20000205,1,4.7,8.8,0.62,1.0296,0.78,0.0,7.1,9.2,5.3,13.3,False
20000206,7,5.2,10.6,0.67,1.0209,0.46,0.27,2.3,9.2,6.3,11.0,False
20000207,8,7.9,16.0,0.78,1.0138,0.41,0.1,1.7,8.1,6.8,10.3,False
20000208,7,8.1,22.4,0.78,1.0057,0.2,1.03,0.0,9.6,7.6,12.2,False
20000209,4,7.1,18.2,0.72,1.0186,0.2,0.01,0.0,5.4,2.1,9.5,False
20000210,7,6.6,14.9,0.72,1.0191,0.54,1.0,2.9,6.0,2.1,9.8,False
20000211,1,3.5,7.8,0.77,1.0276,0.94,0.0,8.5,3.0,-1.4,8.0,False
20000212,4,6.5,18.0,0.77,1.0218,0.69,0.25,4.6,3.6,-0.3,8.9,False
20000213,4,5.4,11.7,0.74,1.0176,0.73,0.0,4.9,4.9,2.8,9.2,False
