DATE,KASSEL_wind_speed,KASSEL_wind_gust,KASSEL_humidity,KASSEL_pressure,KASSEL_global_radiation,KASSEL_precipitation,KASSEL_sunshine,KASSEL_temp_mean,KASSEL_temp_min,KASSEL_temp_max,KASSEL_picnic_weather
20000101,2.5,8.2,0.93,1.0237,0.06,0.13,0.0,3.5,1.5,5.0,False
20000102,2.9,9.6,0.92,1.029,0.33,0.0,2.9,2.3,0.3,4.7,False
20000103,4.8,11.9,0.9,1.0251,0.2,0.01,0.0,3.5,2.2,4.6,False
20000104,4.5,12.7,0.94,1.0174,0.06,0.44,0.0,4.8,3.5,5.6,False
20000105,2.4,8.8,0.84,1.021,0.48,0.0,6.7,2.3,0.2,6.3,False
20000106,3.7,11.8,0.94,1.0197,0.08,0.0,0.0,3.6,0.4,4.4,False
20000107,3.0,7.8,0.92,1.0226,0.23,0.0,1.4,4.4,3.5,6.6,False
20000108,3.6,10.4,0.87,1.0203,0.17,0.0,0.0,4.2,2.8,5.1,False
20000109,1.9,6.6,0.89,1.0241,0.27,0.0,0.5,3.4,1.7,6.4,False
20000110,1.3,5.2,0.81,1.0348,0.34,0.0,2.7,1.8,0.7,4.5,False
20000111,2.4,9.0,0.9,1.0382,0.44,0.0,3.8,-0.7,-4.1,1.5,False
20000112,4.5,11.3,0.89,1.0318,0.09,0.0,0.0,-0.1,-0.6,1.1,False
20000113,3.5,11.6,0.85,1.0219,0.11,0.0,0.0,-1.3,-2.2,-0.5,False
20000114,2.0,6.2,0.88,1.0222,0.1,0.0,0.0,1.2,-0.9,2.0,False
20000115,1.8,8.7,0.81,1.0321,0.17,0.0,0.0,0.9,0.3,2.8,False
20000116,1.8,6.6,0.95,1.0332,0.16,0.05,0.0,1.4,-1.4,2.9,False
20000117,4.2,17.6,0.9,1.0234,0.13,0.0,0.0,5.9,2.6,6.3,False
20000118,5.6,20.7,0.83,1.0181,0.23,0.42,0.4,3.6,2.1,6.2,False
20000119,1.7,8.3,0.83,1.0278,0.41,0.0,2.5,-0.1,-1.5,3.5,False
20000120,2.3,11.5,0.9,1.0262,0.1,0.55,0.0,2.5,-2.7,3.3,False
20000121,4.1,17.4,0.8,1.02,0.26,0.16,0.7,1.8,0.2,4.3,False
20000122,2.0,6.6,0.96,1.0104,0.12,0.82,0.0,0.7,0.0,2.1,False
20000123,2.7,8.7,0.78,1.0163,0.48,0.09,3.6,-4.4,-7.2,0.9,False
20000124,1.0,5.0,0.83,1.0256,0.66,0.0,5.8,-6.5,-10.3,-2.3,False
20000125,2.3,6.6,0.83,1.0295,0.72,0.0,7.7,-6.2,-10.1,-2.1,False
20000126,3.8,8.5,0.86,1.0315,0.29,0.02,0.0,-2.8,-7.0,-1.3,False
20000127,3.4,8.3,0.89,1.0284,0.16,0.0,0.0,-1.6,-2.3,-0.4,False
20000128,4.5,10.7,0.7,1.0182,0.36,0.01,1.7,-0.8,-5.6,0.7,False
20000129,5.1,14.2,0.93,0.9991,0.09,1.5,0.0,5.7,0.7,8.2,False
20000130,3.7,15.5,0.76,1.0084,0.48,0.21,1.9,6.5,4.7,8.0,False
20000131,3.3,15.3,0.89,1.0178,0.18,0.18,0.0,8.3,6.8,10.6,False
20000201,3.2,10.8,0.83,1.018,0.39,0.02,1.0,6.9,6.1,10.0,False
20000202,3.2,11.3,0.85,1.0153,0.17,0.2,0.0,6.2,4.9,8.0,False
20000203,3.3,10.8,0.79,1.0283,0.51,0.14,2.7,4.4,3.4,7.4,False
20000204,3.2,10.2,0.92,1.0324,0.12,0.15,0.0,4.8,1.2,6.6,False
20000205,3.1,7.6,0.82,1.0295,0.62,0.0,3.8,6.9,4.5,10.5,False
20000206,3.8,9.6,0.69,1.0214,0.66,0.0,4.1,8.3,5.4,11.3,False
20000207,4.4,14.0,0.77,1.014,0.45,0.23,2.1,7.4,6.2,9.4,False
20000208,4.6,20.6,0.75,1.0046,0.21,0.48,0.0,8.6,5.5,11.0,False
20000209,4.6,16.7,0.75,1.0154,0.55,0.0,1.9,4.8,1.4,8.8,False
20000210,4.7,15.8,0.83,1.0197,0.62,0.11,3.1,5.2,3.3,7.4,False
20000211,1.9,10.2,0.72,1.0267,0.89,0.0,7.0,3.0,0.0,8.0,False
20000212,4.1,13.7,0.84,1.0232,0.95,0.54,8.0,1.8,-2.5,4.7,False
20000213,2.8,13.5,0.85,1.0167,0.65,0.49,4.4,3.0,1.3,6.9,False
20000214,2.7,9.8,0.69,1.0212,0.86,0.19,5.3,3.8,1.4,7.3,False
20000215,2.3,9.6,0.91,1.013,0.24,0.2,0.0,5.1,2.6,7.3,False
20000216,3.6,14.8,0.81,1.0009,0.7,0.42,3.4,1.6,-0.6,5.0,False
20000217,2.6,9.7,0.89,1.0051,0.63,0.22,1.7,0.3,-1.1,2.6,False
20000218,3.9,13.2,0.95,1.0059,0.27,0.33,0.0,0.5,-0.6,1.1,False
20000219,2.4,9.2,0.9,1.0044,0.47,0.55,1.2,3.0,0.9,6.2,False
20000220,2.9,12.4,0.89,1.0226,0.76,0.05,3.2,-0.6,-2.3,2.4,False
20000221,1.5,4.8,0.82,1.0292,0.75,0.03,3.1,-0.6,-4.9,3.8,False
20000222,2.5,7.6,0.82,1.0247,0.92,0.0,4.0,2.7,-0.6,7.5,False
20000223,2.6,5.9,0.9,1.0258,0.6,0.0,1.4,2.2,-1.4,5.1,False
20000224,3.7,11.2,0.92,1.0222,0.29,1.91,0.0,4.7,2.2,6.2,False
20000225,1.8,9.5,0.89,1.0218,0.5,0.39,1.0,2.4,0.7,5.5,False
20000226,2.2,6.2,0.8,1.0317,1.09,0.0,7.3,1.7,-0.6,7.4,False
20000227,3.8,13.4,0.77,1.0268,1.24,0.0,9.2,5.6,-4.0,10.0,False
20000228,4.2,14.6,0.71,1.0147,0.94,0.09,6.4,8.8,6.2,14.7,False
20000229,5.0,16.5,0.85,1.0113,0.66,0.75,1.2,5.6,2.8,8.2,False
20000301,2.9,13.0,0.9,1.0016,0.5,0.14,0.3,3.6,1.6,6.7,False
20000302,4.1,14.8,0.7,1.0171,0.87,0.13,2.7,3.6,1.7,6.0,False
20000303,5.0,16.1,0.91,1.0045,0.28,0.82,0.0,3.3,1.9,8.0,False
20000304,4.5,13.9,0.76,1.0158,1.09,0.12,5.6,0.5,-0.4,3.4,False
20000305,2.8,12.0,0.77,1.0293,0.8,0.0,1.3,1.0,-0.7,4.2,False
20000306,3.2,11.1,0.7,1.0277,1.0,0.0,3.8,4.9,-1.3,7.6,False
20000307,3.9,10.9,0.79,1.0209,0.55,0.0,0.4,8.1,4.3,9.5,False
20000308,3.3,11.0,0.91,1.017,0.34,1.15,0.0,10.1,7.6,11.4,False
