DATE,LJUBLJANA_cloud_cover,LJUBLJANA_wind_speed,LJUBLJANA_humidity,LJUBLJANA_pressure,LJUBLJANA_global_radiation,LJUBLJANA_precipitation,LJUBLJANA_sunshine,LJUBLJANA_temp_mean,LJUBLJANA_temp_min,LJUBLJANA_temp_max,LJUBLJANA_picnic_weather
20000101,6,0.4,0.83,1.0294,0.57,0.0,5.2,-4.8,-9.1,-1.3,False
20000102,6,0.4,0.76,1.031,0.59,0.0,5.0,-0.9,-4.9,2.0,False
20000103,6,0.3,0.83,1.0309,0.51,0.0,2.4,-0.3,-1.8,3.3,False
20000104,2,0.4,0.88,1.0262,0.7,0.0,3.5,-3.6,-6.1,0.4,False
20000105,4,0.6,0.85,1.0271,0.57,0.0,4.6,-3.0,-6.1,1.1,False
20000106,6,0.4,0.89,1.0283,0.53,0.0,4.5,-3.8,-6.0,-0.4,False
20000107,4,0.5,0.93,1.0303,0.46,0.0,3.5,-3.6,-6.2,-1.2,False
20000108,3,0.6,0.85,1.0292,0.64,0.0,5.6,-3.2,-6.5,0.9,False
20000109,8,0.6,0.88,1.0281,0.15,0.0,0.0,-2.4,-4.5,-1.5,False
20000110,8,1.2,0.87,1.0352,0.21,0.01,0.0,-1.2,-1.9,-0.3,False
20000111,6,0.4,0.85,1.0392,0.25,0.0,0.0,-0.2,-1.2,2.0,False
20000112,6,1.0,0.74,1.0361,0.66,0.0,5.6,-0.2,-3.2,2.9,False
20000113,8,0.9,0.76,1.0299,0.28,0.0,0.0,-1.0,-1.9,-0.2,False
20000114,7,0.9,0.75,1.0278,0.33,0.0,0.0,-0.6,-2.8,0.9,False
20000115,8,0.9,0.86,1.0299,0.14,0.0,0.0,-1.0,-2.4,0.1,False
20000116,6,1.3,0.8,1.0321,0.24,0.0,0.0,-1.4,-2.0,0.4,False
20000117,3,0.8,0.83,1.0178,0.55,0.0,3.4,-3.5,-7.2,-0.4,False
20000118,4,0.9,0.73,1.0068,0.92,0.04,7.4,1.0,-5.8,12.4,False
20000119,1,2.2,0.46,1.0192,0.94,0.0,7.7,1.8,-1.9,7.8,False
20000120,3,0.4,0.62,1.0268,0.69,0.0,4.2,-1.1,-5.0,3.8,False
20000121,2,2.1,0.55,1.0137,0.89,0.0,7.9,4.1,-5.6,9.6,False
20000122,8,1.3,0.7,1.0178,0.26,0.17,0.0,-3.4,-4.4,6.8,False
20000123,6,1.1,0.74,1.0094,0.76,0.17,5.4,-2.3,-5.8,1.4,False
20000124,3,2.4,0.52,1.0199,1.02,0.0,8.0,-3.7,-5.2,0.0,False
20000125,1,1.0,0.63,1.0309,0.99,0.0,8.0,-7.7,-13.2,-1.8,False
20000126,0,0.6,0.7,1.033,0.96,0.0,8.0,-7.9,-14.0,-1.0,False
20000127,0,0.5,0.64,1.0303,0.97,0.0,8.0,-3.8,-11.6,4.0,False
20000128,2,0.9,0.76,1.0261,0.84,0.0,6.2,-2.9,-8.8,4.4,False
20000129,7,1.2,0.72,1.0192,0.44,0.0,0.0,1.5,-5.5,5.1,False
20000130,6,2.0,0.71,1.0167,0.87,0.0,5.4,4.6,2.0,9.6,False
20000131,5,1.6,0.83,1.025,0.41,0.0,0.6,4.5,-1.0,10.4,False
20000201,7,1.1,0.8,1.0279,0.49,0.0,1.2,5.9,-1.7,10.4,False
20000202,6,2.5,0.74,1.0204,0.61,0.0,3.0,8.1,6.1,10.2,False
20000203,2,1.2,0.66,1.0269,0.99,0.0,7.7,6.2,1.1,13.5,False
20000204,1,0.9,0.66,1.0387,1.1,0.0,8.4,3.0,-1.7,9.5,False
20000205,3,1.3,0.67,1.0331,1.02,0.0,7.8,5.9,-0.9,13.3,False
20000206,1,0.5,0.71,1.0289,1.07,0.0,8.2,6.4,0.4,15.8,False
20000207,3,2.2,0.7,1.0227,1.01,0.0,8.3,6.1,-1.1,14.5,False
20000208,8,1.5,0.8,1.0185,0.13,0.04,0.0,6.5,2.6,9.1,False
20000209,6,1.2,0.69,1.0175,0.24,0.0,0.0,6.8,6.0,8.9,False
20000210,1,1.0,0.65,1.0272,1.15,0.0,8.5,3.6,-2.6,11.0,False
20000211,2,0.5,0.73,1.0274,0.97,0.0,4.0,2.4,-2.9,8.0,False
20000212,8,0.6,0.8,1.0272,0.47,0.17,0.4,3.9,2.1,6.8,False
20000213,3,0.7,0.85,1.0232,0.96,0.0,5.5,2.7,-0.1,7.8,False
20000214,2,0.7,0.76,1.0221,1.22,0.0,8.4,3.3,-1.9,9.1,False
20000215,6,1.1,0.67,1.0209,0.93,0.01,5.3,4.1,-0.6,8.8,False
20000216,8,1.3,0.93,1.0088,0.42,3.24,0.0,1.6,0.6,5.0,False
20000217,6,0.8,0.88,1.0068,0.84,0.0,4.4,1.0,0.0,5.2,False
20000218,6,0.8,0.68,1.0151,0.95,0.0,4.6,1.2,-3.9,5.4,False
20000219,5,0.6,0.79,1.0098,0.77,0.0,3.0,1.7,-2.9,8.0,False
20000220,5,0.8,0.83,1.017,1.05,0.0,4.8,2.7,-1.2,8.1,False
20000221,2,1.2,0.63,1.0264,1.2,0.0,7.6,1.7,-1.7,7.5,False
20000222,2,0.9,0.61,1.0278,1.45,0.0,8.4,-0.3,-4.9,4.8,False
20000223,2,0.7,0.66,1.0275,1.47,0.0,8.4,1.4,-5.1,7.9,False
20000224,4,1.1,0.6,1.0304,1.32,0.0,7.0,3.1,-3.5,8.5,False
20000225,6,3.2,0.57,1.0269,1.16,0.0,5.6,5.8,1.1,10.3,False
20000226,8,0.5,0.79,1.0334,0.58,0.0,0.2,3.8,-0.8,7.9,False
20000227,1,0.7,0.71,1.0332,1.44,0.0,8.6,5.1,-0.7,12.3,False
20000228,0,1.3,0.65,1.0331,1.45,0.0,8.3,5.8,-2.1,13.4,False
20000229,6,2.6,0.69,1.0257,0.57,0.22,1.4,7.5,3.8,11.1,False
20000301,8,2.1,0.9,1.0094,0.14,3.84,0.0,4.7,2.7,8.2,False
20000302,3,1.7,0.5,1.0155,1.38,0.0,6.2,5.6,1.4,11.9,False
20000303,4,1.7,0.59,1.0197,1.54,0.0,7.4,5.4,-2.7,11.5,False
20000304,8,1.8,0.82,1.0154,0.13,0.04,0.0,6.3,4.4,8.6,False
20000305,2,2.4,0.51,1.0293,1.9,0.0,9.9,3.4,0.4,9.0,False
20000306,1,3.4,0.61,1.0344,1.83,0.0,10.2,4.1,-3.5,10.5,False
20000307,1,2.7,0.59,1.0279,1.81,0.0,9.6,6.6,-1.2,13.2,False
20000308,4,2.5,0.67,1.0256,1.53,0.0,6.7,8.2,-0.6,14.7,False
20000309,4,3.4,0.69,1.0201,1.54,0.0,7.4,10.7,4.8,16.8,False
20000310,5,1.8,0.62,1.02,1.55,0.0,7.3,11.1,3.1,18.3,True
20000311,7,2.2,0.7,1.0181,0.4,0.0,0.3,9.7,4.8,11.7,False
20000312,2,1.9,0.57,1.0222,1.83,0.0,9.3,10.2,3.0,18.2,True
20000313,1,1.2,0.61,1.0255,1.82,0.0,10.2,8.7,1.2,16.3,False
20000314,2,3.0,0.58,1.0224,1.75,0.01,9.0,8.9,1.1,16.9,False
20000315,6,1.9,0.75,1.0184,1.03,0.0,3.1,7.5,4.6,12.7,False
20000316,6,2.0,0.72,1.0198,1.14,0.07,4.2,5.0,-1.3,11.9,False
20000317,6,3.2,0.75,1.0167,1.43,0.01,7.2,4.5,0.8,15.0,False
20000318,2,2.3,0.51,1.0207,2.17,0.0,10.8,5.9,1.1,13.1,False
20000319,6,1.5,0.72,1.0252,1.22,0.0,3.8,3.2,-2.2,7.8,False
20000320,4,1.0,0.62,1.025,2.03,0.0,9.5,5.0,-1.4,11.0,False
20000321,2,1.2,0.53,1.0225,2.13,0.0,10.9,7.9,1.0,15.1,False
20000322,1,2.3,0.57,1.0213,2.13,0.0,10.9,9.1,-0.5,18.1,True
20000323,2,2.4,0.54,1.018,2.1,0.0,10.7,10.8,0.6,18.9,True
20000324,8,2.5,0.55,1.0158,0.95,0.01,0.1,11.5,8.9,14.7,False
20000325,7,2.2,0.74,1.0179,1.14,0.0,1.0,11.0,6.1,15.2,False
20000326,7,0.5,0.91,1.014,0.48,0.6,0.4,9.1,6.8,12.2,False
20000327,8,1.6,0.89,1.0059,0.68,1.77,0.3,7.6,6.7,10.6,False
20000328,6,1.3,0.75,1.012,1.35,0.38,4.8,8.9,4.2,13.8,False
20000329,7,1.2,0.93,1.0113,0.16,4.43,0.0,6.6,5.7,8.8,False
20000330,6,2.0,0.72,1.0101,1.15,0.08,4.9,7.7,4.3,12.5,False
20000331,4,2.3,0.6,1.0108,2.01,0.0,10.9,10.2,6.2,15.7,False
20000401,8,0.9,0.91,1.0062,0.39,1.49,0.2,5.5,5.2,9.5,False
20000402,6,2.3,0.73,1.0109,1.79,0.0,5.9,9.2,3.2,14.7,False
20000403,8,1.2,0.76,1.0057,0.56,0.07,0.6,9.5,7.0,12.1,False
20000404,6,1.4,0.76,1.0003,1.19,0.02,2.3,11.5,8.1,16.7,False
20000405,7,2.1,0.69,0.9991,1.5,0.15,4.5,12.6,6.1,18.5,False
