DATE,MAASTRICHT_cloud_cover,MAASTRICHT_wind_speed,MAASTRICHT_wind_gust,MAASTRICHT_humidity,MAASTRICHT_pressure,MAASTRICHT_global_radiation,MAASTRICHT_precipitation,MAASTRICHT_sunshine,MAASTRICHT_temp_mean,MAASTRICHT_temp_min,MAASTRICHT_temp_max,MAASTRICHT_picnic_weather
20000101,8,3.1,7.0,0.98,1.0251,0.06,0.17,0.0,5.6,4.1,6.9,False
20000102,7,3.8,9.0,0.95,1.0286,0.14,0.0,0.0,6.2,4.2,7.5,False
20000103,7,7.4,14.0,0.87,1.0236,0.15,0.02,0.9,6.8,6.1,7.9,False
20000104,8,7.2,15.0,0.92,1.0165,0.07,1.33,0.0,7.3,6.1,9.0,False
20000105,4,4.1,10.0,0.87,1.0205,0.44,0.0,6.2,5.2,0.6,8.4,False
20000106,6,5.3,12.0,0.86,1.0178,0.33,0.26,2.7,7.3,3.3,10.3,False
20000107,6,6.0,14.0,0.86,1.0223,0.32,0.0,3.3,6.6,4.6,7.8,False
20000108,7,4.8,11.0,0.91,1.0196,0.19,0.09,0.9,5.9,4.6,7.3,False
20000109,6,1.8,4.0,0.95,1.0261,0.36,0.0,3.4,4.0,-0.4,6.1,False
20000110,7,1.7,4.0,1.0,1.0366,0.21,0.0,0.0,-0.3,-3.1,2.1,False
20000111,3,3.5,8.0,0.92,1.0375,0.61,0.0,6.7,-0.2,-3.4,3.5,False
20000112,5,5.1,10.0,0.86,1.0299,0.52,0.0,7.2,0.4,-2.2,3.8,False
20000113,8,4.4,10.0,0.78,1.0188,0.21,0.0,2.1,1.9,0.7,3.3,False
20000114,8,2.7,6.0,0.93,1.0219,0.14,0.0,0.0,2.8,1.5,3.4,False
20000115,8,3.3,9.0,0.88,1.0341,0.1,0.0,0.7,2.4,0.4,5.1,False
20000116,8,2.5,7.0,0.96,1.0363,0.11,0.17,0.0,2.5,-0.8,5.0,False
20000117,8,4.5,10.0,0.96,1.0314,0.12,0.09,0.3,5.5,4.3,7.1,False
20000118,8,5.8,15.0,0.9,1.0269,0.13,0.17,0.2,5.7,3.8,7.7,False
20000119,7,3.5,7.0,0.86,1.0319,0.16,0.0,0.0,3.6,2.7,4.8,False
20000120,8,3.9,10.0,0.93,1.0309,0.13,0.04,0.0,3.3,2.4,4.4,False
20000121,8,4.1,12.0,0.94,1.0264,0.13,0.46,0.2,4.4,3.4,6.3,False
20000122,7,5.2,16.0,0.95,1.0128,0.15,0.53,0.0,3.2,1.9,5.1,False
20000123,7,4.4,11.0,0.9,1.0175,0.08,0.06,0.0,1.0,-4.4,3.4,False
20000124,2,1.5,4.0,0.79,1.0253,0.72,0.0,7.8,-3.4,-6.2,0.2,False
20000125,2,2.4,4.0,0.75,1.0297,0.69,0.0,7.3,-2.1,-5.9,2.4,False
20000126,7,4.1,8.0,0.76,1.0332,0.5,0.0,2.7,0.2,-3.9,2.4,False
20000127,2,4.7,8.0,0.7,1.0297,0.68,0.0,7.7,0.5,-2.7,3.2,False
20000128,7,7.6,18.0,0.74,1.0176,0.15,0.01,0.0,1.5,-2.6,5.1,False
20000129,8,11.8,21.0,0.93,1.0012,0.05,1.97,0.0,7.7,4.3,9.9,False
20000130,8,7.7,22.0,0.92,1.0129,0.1,1.44,0.0,9.0,7.0,10.3,False
20000131,8,9.3,20.0,0.85,1.0218,0.13,0.07,0.0,9.5,8.4,10.6,False
20000201,7,7.1,13.0,0.81,1.019,0.28,0.02,0.2,8.5,7.3,9.4,False
20000202,5,5.4,11.0,0.88,1.019,0.22,0.18,1.9,6.2,3.8,8.3,False
20000203,5,4.8,9.0,0.87,1.0328,0.49,0.0,3.2,5.2,3.0,7.4,False
20000204,8,8.0,14.0,0.89,1.0339,0.3,0.2,0.4,6.6,5.0,8.2,False
20000205,3,6.0,12.0,0.64,1.0294,0.72,0.0,7.4,8.4,4.5,13.6,False
20000206,7,6.1,13.0,0.76,1.0207,0.39,0.01,1.7,8.3,6.4,9.2,False
20000207,7,8.9,17.0,0.85,1.014,0.45,0.55,2.2,7.9,6.2,9.2,False
20000208,8,9.3,20.0,0.82,1.0071,0.16,1.12,0.7,9.2,3.9,12.1,False
20000209,6,6.8,19.0,0.76,1.0213,0.2,0.12,1.1,5.5,3.4,7.4,False
20000210,7,7.4,19.0,0.82,1.0194,0.5,0.76,3.9,5.9,2.8,9.1,False
20000211,0,3.8,8.0,0.84,1.0289,0.95,0.0,8.5,2.9,-0.6,7.5,False
20000212,5,7.3,18.0,0.84,1.0219,0.66,0.24,4.4,4.1,0.2,7.5,False
20000213,5,5.0,13.0,0.8,1.0193,0.56,0.12,3.7,5.4,1.6,8.6,False
20000214,4,4.9,12.0,0.85,1.0214,0.95,0.26,7.3,4.2,-1.8,8.0,False
20000215,8,4.9,11.0,0.91,1.0135,0.28,0.38,0.5,7.0,5.0,8.3,False
20000216,6,6.5,24.0,0.86,1.0025,0.48,0.64,3.4,2.7,-0.5,6.1,False
20000217,6,5.0,14.0,0.81,1.0092,0.71,0.07,3.5,2.6,0.6,6.3,False
20000218,8,5.8,16.0,0.91,1.0036,0.16,0.88,0.0,4.2,0.1,7.6,False
20000219,7,5.7,14.0,0.88,1.0091,0.48,0.41,1.5,4.6,2.0,7.1,False
20000220,4,2.8,8.0,0.87,1.0277,0.69,0.02,2.4,2.1,-1.1,6.0,False
20000221,7,3.7,8.0,0.85,1.0286,0.79,0.0,4.2,2.9,-1.8,6.5,False
20000222,7,2.5,7.0,0.84,1.0253,0.76,0.05,3.1,4.1,1.6,7.6,False
20000223,7,3.8,11.0,0.8,1.0246,0.91,0.0,4.8,6.3,1.1,10.7,False
