DATE,MALMO_wind_speed,MALMO_precipitation,MALMO_temp_mean,MALMO_temp_min,MALMO_temp_max,MALMO_picnic_weather
20000101,2.5,0.27,2.9,0.9,3.6,False
20000102,3.8,0.0,3.7,1.0,5.4,False
20000103,4.3,0.06,5.6,4.0,6.9,False
20000104,3.9,0.75,4.5,3.0,6.4,False
20000105,3.2,0.03,3.8,2.5,5.5,False
20000106,4.6,0.17,4.1,2.5,5.4,False
20000107,3.2,0.0,3.8,1.6,6.2,False
20000108,4.3,0.0,4.7,4.2,5.4,False
20000109,2.9,0.0,2.9,1.9,5.0,False
20000110,3.0,0.0,2.5,1.6,4.9,False
20000111,4.8,0.07,2.8,1.2,3.3,False
20000112,5.1,0.0,3.2,2.8,3.9,False
20000113,2.8,0.0,1.4,0.6,3.1,False
20000114,0.6,0.0,-0.4,-0.7,0.7,False
20000115,1.8,0.0,0.8,-0.7,2.5,False
20000116,3.3,0.0,3.7,-1.0,6.1,False
20000117,6.5,0.0,7.0,5.5,9.0,False
20000118,6.4,0.0,4.3,3.5,7.1,False
20000119,4.2,0.0,1.6,0.1,4.0,False
20000120,4.6,0.26,3.8,0.2,5.7,False
20000121,3.5,0.0,-2.4,-5.1,4.8,False
20000122,1.8,0.03,-5.7,-8.2,-2.0,False
20000123,1.0,0.0,-6.6,-10.7,-1.6,False
20000124,1.3,0.0,-7.4,-15.2,-1.3,False
20000125,3.1,0.0,0.9,-2.8,2.3,False
20000126,4.8,0.0,2.9,0.2,5.0,False
20000127,5.8,0.06,4.3,3.8,5.0,False
20000128,5.6,0.4,3.7,3.2,4.4,False
20000129,7.8,0.5,4.5,2.6,6.8,False
20000130,9.0,0.6,3.8,2.3,5.5,False
20000131,6.6,0.06,4.3,-0.1,7.3,False
20000201,4.6,0.23,4.6,1.5,6.2,False
20000202,6.3,0.09,4.0,2.7,6.0,False
20000203,6.5,0.0,2.3,0.6,4.4,False
20000204,5.6,0.13,4.4,-0.8,6.7,False
20000205,5.3,0.0,7.8,6.5,9.2,False
20000206,3.6,0.17,5.7,4.9,7.1,False
