DATE,MONTELIMAR_wind_speed,MONTELIMAR_humidity,MONTELIMAR_pressure,MONTELIMAR_global_radiation,MONTELIMAR_precipitation,MONTELIMAR_temp_mean,MONTELIMAR_temp_min,MONTELIMAR_temp_max,MONTELIMAR_picnic_weather
20000101,3.8,0.85,1.0269,0.3,0.0,5.5,2.5,8.5,False
20000102,5.8,0.82,1.0287,0.54,0.0,8.3,6.8,9.8,False
20000103,0.4,0.92,1.0316,0.53,0.0,3.2,-2.1,8.5,False
20000104,1.1,0.85,1.0274,0.64,0.0,7.2,2.3,12.1,False
20000105,3.4,0.82,1.0234,0.7,0.0,8.2,1.5,14.8,False
20000106,0.5,0.91,1.0249,0.35,0.0,5.6,0.0,11.3,False
20000107,3.8,0.81,1.025,0.66,0.0,6.6,1.3,12.0,False
20000108,2.4,0.89,1.0248,0.52,0.0,4.5,1.6,7.3,False
20000109,1.9,0.94,1.0245,0.2,0.5,4.8,2.5,7.2,False
20000110,7.0,0.77,1.0312,0.44,0.0,6.4,5.5,7.4,False
20000111,5.6,0.78,1.0349,0.53,0.0,5.9,4.8,7.0,False
20000112,2.5,0.84,1.0296,0.6,0.0,6.0,3.9,8.0,False
20000113,1.0,0.89,1.0223,0.27,0.0,3.2,-1.0,7.5,False
20000114,2.2,0.79,1.0195,0.71,0.0,4.0,-1.1,9.0,False
20000115,6.0,0.73,1.0253,0.57,0.0,6.2,4.4,7.9,False
20000116,8.8,0.67,1.0286,0.29,0.0,2.5,1.6,3.4,False
20000117,9.9,0.74,1.0279,0.58,0.0,3.8,0.7,7.0,False
20000118,11.8,0.69,1.0213,0.23,0.0,6.4,4.4,8.5,False
20000119,10.0,0.57,1.0243,0.87,0.0,6.6,5.2,7.9,False
20000120,7.4,0.68,1.0302,0.84,0.0,3.2,0.6,5.9,False
20000121,9.2,0.62,1.0258,0.67,0.0,4.0,1.7,6.4,False
20000122,5.4,0.72,1.0177,0.51,0.0,5.5,3.6,7.4,False
20000123,6.5,0.69,1.0154,0.68,0.0,4.6,1.6,7.7,False
20000124,7.6,0.63,1.0175,0.81,0.0,4.0,2.6,5.4,False
20000125,5.9,0.7,1.0252,0.39,0.0,-0.9,-2.1,0.3,False
20000126,4.1,0.73,1.0325,0.88,0.0,-0.7,-4.2,2.8,False
20000127,1.2,0.86,1.0332,0.58,0.12,-0.9,-4.6,2.7,False
20000128,2.9,0.82,1.0268,0.91,0.0,1.9,-4.6,8.3,False
20000129,1.5,0.85,1.0244,0.68,0.0,2.4,-2.6,7.4,False
20000130,5.4,0.77,1.0276,0.95,0.0,7.6,0.3,15.0,False
20000131,5.6,0.7,1.0288,0.93,0.0,11.2,8.5,13.8,False
20000201,1.9,0.85,1.027,0.9,0.3,7.4,0.1,14.6,False
