DATE,MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_picnic_weather
20000101,8,2.6,9.4,0.91,1.0273,0.2,0.2,0.0,1.7,-0.5,2.6,False
20000102,6,2.1,8.2,0.9,1.0321,0.66,0.0,6.1,1.9,-0.2,5.8,False
20000103,7,2.1,6.9,0.92,1.0317,0.28,0.0,0.4,-0.4,-3.3,0.9,False
20000104,6,2.7,11.7,0.75,1.026,0.58,0.04,4.5,3.8,-2.8,6.6,False
20000105,5,3.3,13.2,0.87,1.0248,0.26,0.0,0.2,5.3,4.3,7.3,False
20000106,3,0.9,3.5,0.99,1.0256,0.49,0.0,2.8,-1.0,-3.4,4.3,False
20000107,5,1.4,6.1,0.82,1.027,0.48,0.0,2.5,3.4,-2.4,7.6,False
20000108,2,1.8,5.6,0.78,1.0253,0.58,0.0,4.2,2.7,0.4,8.6,False
20000109,8,1.0,3.4,0.91,1.0255,0.21,0.13,0.0,1.8,-1.0,2.5,False
20000110,8,1.8,5.5,0.95,1.034,0.21,0.0,0.0,-0.6,-1.6,2.1,False
20000111,8,2.3,6.0,0.91,1.0392,0.21,0.0,0.0,-0.6,-1.3,0.0,False
20000112,8,2.0,5.8,0.88,1.0346,0.21,0.0,0.0,-2.4,-3.0,-0.2,False
20000113,3,1.7,5.4,0.81,1.0259,0.67,0.0,5.2,-2.9,-4.7,0.3,False
20000114,0,1.5,3.8,0.83,1.0261,0.8,0.0,7.8,-4.1,-7.8,0.8,False
20000115,8,1.2,3.5,0.94,1.0333,0.22,0.0,0.0,-5.8,-7.8,-4.6,False
20000116,6,1.5,5.6,0.83,1.0358,0.22,0.0,0.0,-2.9,-5.5,-1.6,False
20000117,8,6.7,16.6,0.86,1.0278,0.23,0.65,0.0,1.8,-3.0,3.1,False
20000118,8,7.2,20.2,0.96,1.0196,0.23,0.78,0.0,1.7,0.0,3.7,False
20000119,3,3.7,9.6,0.81,1.0291,0.72,0.0,5.4,-1.4,-2.2,1.8,False
20000120,8,4.5,13.9,0.76,1.0314,0.3,0.0,0.2,-0.6,-2.9,0.5,False
20000121,8,7.8,19.6,0.88,1.0241,0.24,0.75,0.0,0.1,-0.5,0.6,False
20000122,8,3.8,10.4,0.97,1.0152,0.24,0.52,0.0,0.3,-0.8,0.9,False
20000123,7,3.0,8.1,0.92,1.0134,0.29,0.24,0.1,-2.8,-5.5,0.5,False
20000124,1,1.8,4.9,0.8,1.0257,0.91,0.0,8.1,-10.2,-12.4,-5.5,False
20000125,1,1.1,4.8,0.82,1.0328,0.93,0.0,8.4,-12.2,-16.4,-5.9,False
20000126,0,1.2,3.7,0.78,1.0368,0.97,0.0,8.8,-9.2,-15.6,-3.3,False
20000127,0,2.2,6.9,0.71,1.0338,0.99,0.0,9.0,-4.3,-10.4,2.2,False
20000128,4,3.9,11.4,0.69,1.025,0.84,0.0,6.0,2.2,-9.2,5.2,False
20000129,7,9.0,23.4,0.68,1.0126,0.27,0.09,0.0,6.0,3.1,7.2,False
20000130,8,8.6,25.4,0.9,1.0153,0.27,0.92,0.0,7.4,6.6,8.2,False
20000131,6,7.1,21.4,0.72,1.026,0.62,0.0,2.5,7.6,6.4,10.5,False
20000201,2,2.2,8.4,0.63,1.024,1.06,0.0,9.1,8.6,1.2,14.5,False
20000202,7,3.6,11.1,0.7,1.0193,0.64,0.44,2.6,7.8,6.4,11.9,False
20000203,6,4.3,11.6,0.78,1.0332,0.29,0.0,0.0,3.6,1.4,6.4,False
20000204,4,2.3,7.4,0.68,1.0383,1.07,0.3,8.6,3.8,0.6,7.3,False
20000205,6,3.2,11.2,0.85,1.0346,0.41,0.47,0.4,7.2,3.3,10.5,False
20000206,6,1.7,6.6,0.69,1.0268,0.96,0.0,6.4,8.2,1.2,14.5,False
20000207,7,4.4,16.1,0.68,1.0222,0.3,0.02,0.0,7.3,5.9,9.6,False
20000208,8,8.1,21.3,0.76,1.014,0.54,0.89,1.1,9.9,6.1,11.8,False
20000209,6,6.8,18.9,0.78,1.0223,0.82,0.03,3.9,3.4,1.8,10.4,False
20000210,4,3.4,12.0,0.64,1.0269,1.18,0.29,9.0,4.6,2.1,10.1,False
20000211,8,2.7,11.1,0.86,1.0281,0.32,0.19,0.0,2.9,1.4,6.0,False
20000212,5,2.7,11.4,0.9,1.0279,0.33,0.0,0.0,1.5,0.5,2.9,False
20000213,8,6.2,17.4,0.84,1.0226,0.52,0.51,0.7,3.8,1.5,6.7,False
20000214,4,2.8,10.2,0.79,1.0253,1.06,0.33,6.3,3.4,0.1,5.9,False
20000215,8,4.3,11.7,0.88,1.0186,0.34,0.15,0.0,6.3,3.9,7.4,False
20000216,7,4.8,18.5,0.74,1.0073,0.65,0.28,1.5,3.5,1.4,6.7,False
20000217,7,5.4,14.0,0.79,1.01,0.63,0.16,1.3,0.0,-0.9,2.1,False
20000218,5,4.0,11.9,0.84,1.0124,0.5,0.46,0.4,2.2,-1.2,4.5,False
20000219,7,4.3,14.6,0.92,1.0088,0.56,0.56,0.7,3.3,2.0,5.4,False
20000220,8,4.0,10.6,0.97,1.0221,0.37,0.37,0.0,0.2,-0.5,2.8,False
20000221,7,2.5,8.9,0.79,1.0315,0.95,0.05,3.8,-0.8,-2.8,1.8,False
20000222,5,1.5,4.8,0.69,1.0282,1.02,0.0,4.4,0.3,-3.3,3.5,False
20000223,7,2.5,6.6,0.72,1.0286,0.77,0.0,1.9,2.0,-0.9,4.7,False
20000224,8,3.9,12.1,0.72,1.0292,0.46,0.53,0.1,4.6,1.7,7.1,False
20000225,7,5.3,22.0,0.84,1.0264,0.55,0.4,0.4,6.4,4.7,9.8,False
20000226,6,1.5,5.0,0.76,1.0331,1.2,0.01,5.9,4.3,0.1,8.4,False
20000227,1,1.9,6.6,0.69,1.0302,1.56,0.0,10.4,7.3,1.7,14.0,False
20000228,1,2.4,7.3,0.37,1.0221,1.59,0.01,10.5,11.3,1.4,19.6,False
