DATE,OSLO_cloud_cover,OSLO_wind_speed,OSLO_wind_gust,OSLO_humidity,OSLO_pressure,OSLO_global_radiation,OSLO_precipitation,OSLO_sunshine,OSLO_temp_mean,OSLO_temp_min,OSLO_temp_max,OSLO_picnic_weather
20000101,7,0.9,5.1,0.94,1.013,0.04,0.6,0.0,-5.0,-8.6,-3.2,False
20000102,6,1.9,5.7,0.94,1.0076,0.11,0.0,1.6,-0.8,-6.7,2.4,False
20000103,6,1.7,8.7,0.88,1.0016,0.04,0.0,0.0,1.2,-1.1,3.8,False
20000104,1,3.4,11.8,0.58,0.9982,0.13,0.0,5.3,2.1,-0.5,5.1,False
20000105,8,1.2,5.7,0.94,1.0055,0.05,0.06,0.0,-0.7,-4.0,0.5,False
20000106,8,7.0,17.0,0.9,0.995,0.05,0.13,0.0,5.3,-0.1,6.5,False
20000107,8,5.3,15.9,0.76,1.0018,0.05,0.0,0.0,3.8,0.4,6.0,False
20000108,4,6.0,17.5,0.78,0.994,0.18,0.0,4.7,5.5,4.3,6.4,False
20000109,1,2.9,10.8,0.9,1.0094,0.13,0.0,5.6,1.6,-0.2,5.0,False
20000110,5,1.5,6.2,0.89,1.0218,0.11,0.0,2.2,-0.6,-3.6,2.5,False
20000111,3,0.8,9.8,0.94,1.0191,0.09,0.0,2.8,1.6,0.4,4.8,False
20000112,8,0.7,9.8,0.96,1.011,0.03,0.0,0.0,3.0,-0.2,4.7,False
20000113,6,1.2,5.7,0.79,1.0146,0.03,0.0,0.0,1.5,1.0,2.8,False
20000114,5,2.7,9.3,0.65,1.0278,0.08,0.0,3.1,-0.5,-2.6,1.7,False
20000115,4,1.4,3.6,0.84,1.0278,0.15,0.06,4.0,-3.7,-6.4,-1.5,False
20000116,5,1.3,5.1,0.96,1.0158,0.02,0.0,0.0,-1.8,-3.2,0.2,False
20000117,1,7.0,18.5,0.41,1.0051,0.21,0.0,6.3,7.7,-1.0,10.2,False
20000118,0,10.6,23.2,0.37,1.0132,0.19,0.0,6.2,3.4,-1.1,4.7,False
20000119,4,2.3,16.5,0.64,1.0208,0.07,0.0,2.4,-0.3,-3.0,3.0,False
20000120,3,2.2,8.2,0.71,1.0075,0.07,0.18,2.6,1.3,-3.0,5.7,False
20000121,4,2.1,10.8,0.62,1.0189,0.19,0.46,5.8,-4.1,-5.6,0.5,False
20000122,8,2.2,7.2,0.92,1.0121,0.07,0.32,0.0,-5.3,-5.8,-3.9,False
20000123,4,2.0,8.7,0.82,1.0211,0.21,0.0,2.6,-7.9,-10.6,-5.2,False
20000124,8,1.2,4.1,0.93,1.0189,0.14,0.0,0.7,-7.4,-12.6,-5.2,False
20000125,6,0.3,3.1,0.93,1.0181,0.19,0.0,1.9,-4.2,-7.0,-1.2,False
20000126,6,0.8,3.6,0.93,1.0126,0.08,0.0,0.0,-3.8,-6.1,-0.5,False
20000127,8,1.3,8.7,0.78,1.0015,0.17,0.0,1.2,-0.9,-4.2,3.4,False
20000128,6,0.8,12.3,0.79,0.9948,0.09,0.46,0.0,-2.6,-4.1,2.5,False
20000129,7,5.3,14.9,0.9,0.959,0.18,0.25,1.2,3.1,-4.0,5.3,False
20000130,3,5.2,22.1,0.4,0.9861,0.29,0.0,5.5,0.3,-2.6,4.2,False
20000131,4,3.6,9.3,0.66,0.9979,0.29,0.0,6.9,-3.1,-5.2,-0.6,False
20000201,6,2.2,5.1,0.85,1.0024,0.12,0.31,1.9,-5.2,-7.8,-2.6,False
20000202,5,1.0,5.1,0.94,0.9904,0.03,0.0,2.5,-2.9,-6.4,2.0,False
20000203,3,1.0,8.7,0.7,1.0161,0.19,0.0,5.8,-3.1,-6.8,2.7,False
20000204,7,1.9,12.3,0.89,1.0023,0.23,0.0,3.2,3.1,-3.8,5.5,False
20000205,7,1.0,4.6,0.94,1.0086,0.08,0.0,0.0,1.6,-0.6,2.9,False
20000206,5,1.9,8.7,0.8,1.0022,0.4,0.14,4.9,4.9,1.5,8.9,False
20000207,7,5.8,14.4,0.74,0.9859,0.24,0.01,2.4,5.6,3.1,7.6,False
20000208,3,1.9,9.8,0.82,0.9863,0.47,0.0,6.8,0.8,-1.1,6.0,False
20000209,4,1.5,8.7,0.67,0.996,0.27,0.0,2.7,0.7,-1.4,3.8,False
20000210,7,5.6,15.4,0.86,0.9918,0.13,0.01,0.0,3.8,-3.6,5.7,False
20000211,4,4.1,15.9,0.6,1.0024,0.55,0.0,7.7,4.8,1.4,8.5,False
20000212,8,5.7,17.0,0.93,0.9978,0.14,1.2,0.0,3.9,2.1,5.6,False
20000213,4,3.9,8.7,0.77,0.9941,0.1,0.0,4.6,0.8,-0.9,4.0,False
20000214,3,2.2,9.3,0.6,1.0085,0.63,0.3,7.6,-0.8,-4.2,3.5,False
20000215,8,1.5,5.7,0.95,0.9966,0.03,0.0,0.0,-1.1,-2.6,0.3,False
20000216,3,2.2,6.2,0.83,0.9953,0.5,0.0,6.7,-2.9,-6.4,1.1,False
20000217,3,0.7,4.6,0.83,1.003,0.66,0.0,8.3,-5.5,-9.8,-0.3,False
20000218,6,2.5,7.2,0.89,1.0052,0.43,0.0,2.8,-4.7,-7.1,-2.2,False
20000219,1,1.7,6.7,0.85,1.013,0.69,0.0,8.4,-7.5,-10.7,-2.6,False
20000220,1,1.2,3.6,0.69,1.0247,0.72,0.0,8.6,-4.2,-10.1,2.3,False
20000221,2,1.5,5.7,0.78,1.0252,0.78,0.04,7.9,-4.4,-8.9,0.3,False
