DATE,PERPIGNAN_wind_speed,PERPIGNAN_humidity,PERPIGNAN_pressure,PERPIGNAN_global_radiation,PERPIGNAN_precipitation,PERPIGNAN_temp_mean,PERPIGNAN_temp_min,PERPIGNAN_temp_max,PERPIGNAN_picnic_weather
20000101,4.4,0.71,1.0267,0.6,0.0,12.2,10.3,14.0,False
20000102,2.9,0.67,1.0278,0.96,0.0,9.8,5.1,14.6,False
20000103,2.5,0.85,1.0288,0.93,0.0,8.6,4.1,13.2,False
20000104,1.5,0.85,1.0269,0.56,0.02,8.6,4.3,12.8,False
20000105,2.6,0.74,1.0219,0.83,0.02,9.2,3.6,14.9,False
20000106,2.9,0.85,1.0231,0.86,0.0,7.4,1.8,13.0,False
20000107,3.8,0.56,1.0248,0.98,0.0,9.9,3.0,16.8,False
20000108,0.9,0.83,1.0239,0.45,0.02,9.1,5.9,12.3,False
20000109,4.2,0.84,1.0234,0.22,0.5,9.0,7.7,10.2,False
20000110,6.5,0.58,1.0301,0.75,0.0,9.2,7.3,11.2,False
20000111,3.1,0.63,1.0337,1.01,0.0,6.7,2.6,10.8,False
20000112,1.5,0.82,1.0292,1.0,0.0,3.2,-2.5,8.8,False
20000113,1.8,0.9,1.0206,0.4,0.02,2.0,-3.6,7.7,False
20000114,2.9,0.84,1.0157,0.82,1.58,5.0,-2.3,12.3,False
20000115,3.0,0.94,1.0222,0.31,0.86,8.2,6.7,9.8,False
20000116,1.6,0.85,1.0252,0.97,0.0,7.7,4.2,11.2,False
20000117,8.5,0.55,1.026,1.06,0.0,7.9,3.9,11.9,False
20000118,13.4,0.53,1.0191,1.14,0.0,9.2,6.5,12.0,False
20000119,10.9,0.54,1.0221,1.12,0.0,8.0,5.3,10.7,False
20000120,5.1,0.51,1.0283,1.12,0.0,6.8,3.3,10.2,False
20000121,11.6,0.49,1.0236,1.19,0.0,7.6,4.8,10.5,False
20000122,7.6,0.5,1.0196,1.18,0.06,6.0,3.3,8.6,False
20000123,10.1,0.55,1.0173,0.99,0.0,6.5,5.1,7.9,False
20000124,6.9,0.57,1.0185,0.81,0.0,5.5,3.9,7.1,False
20000125,3.4,0.74,1.022,1.04,1.46,2.6,-1.3,6.4,False
20000126,3.0,0.94,1.0288,0.1,0.3,2.7,0.2,5.2,False
20000127,2.2,0.94,1.0304,0.32,0.0,5.2,3.3,7.2,False
20000128,1.5,0.81,1.0262,1.14,0.0,8.6,4.6,12.6,False
20000129,5.8,0.58,1.0252,0.98,0.0,8.6,1.9,15.2,False
20000130,6.9,0.59,1.0283,1.28,0.0,14.6,12.3,17.0,False
20000131,2.2,0.61,1.0278,1.14,0.0,13.0,5.1,20.8,True
20000201,1.1,0.9,1.0258,0.15,0.0,7.6,4.0,11.1,False
