DATE,SONNBLICK_cloud_cover,SONNBLICK_humidity,SONNBLICK_global_radiation,SONNBLICK_precipitation,SONNBLICK_sunshine,SONNBLICK_temp_mean,SONNBLICK_temp_min,SONNBLICK_temp_max,SONNBLICK_picnic_weather
20000101,7,0.89,0.82,1.34,0.0,-15.2,-17.0,-13.4,False
20000102,5,0.86,0.6,0.39,2.8,-13.7,-15.0,-12.3,False
20000103,3,0.41,0.81,0.0,5.1,-9.2,-12.5,-5.8,False
20000104,1,0.25,1.05,0.11,8.7,-5.6,-7.0,-4.2,False
20000105,4,0.77,0.69,0.17,3.4,-7.6,-9.4,-5.8,False
20000106,0,0.45,0.89,0.0,8.7,-6.6,-9.4,-3.8,False
20000107,2,0.36,0.87,0.0,8.4,-7.9,-9.2,-6.5,False
20000108,0,0.53,0.91,0.0,8.8,-8.5,-9.6,-7.4,False
20000109,4,0.59,0.75,0.2,5.2,-10.6,-11.9,-9.2,False
20000110,8,0.97,0.25,0.38,0.0,-13.3,-15.0,-11.6,False
20000111,3,0.83,0.91,0.0,5.8,-14.3,-15.1,-13.4,False
20000112,1,0.38,0.95,0.0,9.0,-13.0,-14.8,-11.2,False
20000113,0,0.19,0.86,0.0,9.0,-11.6,-13.0,-10.2,False
20000114,1,0.65,0.95,0.0,8.9,-11.6,-13.2,-9.9,False
20000115,1,0.52,0.96,0.0,9.1,-8.9,-10.2,-7.6,False
20000116,1,0.75,1.04,0.0,8.7,-13.6,-17.0,-10.2,False
20000117,8,0.94,0.51,0.95,0.0,-12.8,-17.2,-8.4,False
20000118,8,0.9,0.22,2.49,0.0,-11.7,-14.1,-9.3,False
20000119,7,0.85,0.65,0.12,0.6,-17.7,-21.2,-14.1,False
20000120,5,0.88,1.14,0.14,7.5,-18.0,-21.2,-14.8,False
20000121,8,0.9,0.31,2.22,0.0,-15.8,-16.2,-15.4,False
20000122,8,0.88,0.69,0.67,0.0,-15.9,-17.3,-14.5,False
20000123,8,0.91,0.77,0.57,0.0,-17.7,-19.2,-16.1,False
20000124,5,0.87,0.66,0.03,1.1,-22.9,-26.5,-19.2,False
20000125,0,0.66,1.29,0.0,9.4,-23.5,-26.6,-20.4,False
20000126,0,0.47,1.12,0.0,8.9,-15.8,-20.7,-10.8,False
20000127,0,0.46,0.97,0.0,9.4,-8.4,-12.0,-4.8,False
20000128,1,0.6,1.19,0.0,9.3,-13.6,-18.6,-8.5,False
20000129,6,0.84,0.85,1.75,3.9,-11.0,-14.4,-7.5,False
