DATE,STOCKHOLM_cloud_cover,STOCKHOLM_pressure,STOCKHOLM_precipitation,STOCKHOLM_sunshine,STOCKHOLM_temp_mean,STOCKHOLM_temp_min,STOCKHOLM_temp_max,STOCKHOLM_picnic_weather
20000101,8,1.0163,0.17,0.0,-2.3,-9.3,0.7,False
20000102,8,1.0108,0.2,0.0,1.3,0.5,2.0,False
20000103,7,1.0071,0.08,1.8,0.8,-1.0,2.8,False
20000104,2,0.9947,0.0,5.0,3.5,2.5,4.6,False
20000105,5,1.0072,0.0,2.2,-0.6,-1.8,2.9,False
20000106,6,1.0057,0.0,1.7,2.5,-0.6,4.0,False
20000107,6,1.0062,0.0,3.9,2.9,1.7,4.1,False
20000108,4,1.0003,0.0,0.9,5.1,3.5,6.4,False
20000109,2,1.0107,0.0,1.8,3.9,3.3,5.1,False
20000110,3,1.0225,0.0,5.3,1.2,0.0,5.5,False
20000111,5,1.0207,0.17,0.0,3.9,0.3,5.5,False
20000112,8,1.0138,0.37,0.0,4.4,3.2,5.2,False
20000113,8,1.0138,0.03,0.0,3.5,2.4,5.1,False
20000114,8,1.0253,0.0,0.0,-0.2,-1.1,3.6,False
20000115,4,1.023,0.0,4.4,-1.7,-3.5,0.0,False
20000116,5,1.0102,0.0,0.2,1.2,-1.7,3.9,False
20000117,3,0.9943,0.0,2.8,3.7,2.9,4.3,False
20000118,6,1.0007,0.03,0.6,-0.2,-2.2,3.2,False
20000119,4,1.0136,0.02,5.2,-1.4,-4.4,-0.3,False
20000120,4,1.0008,0.0,3.9,-0.3,-3.0,2.2,False
20000121,4,1.0103,0.44,1.7,-6.8,-8.3,-3.0,False
20000122,2,1.0124,0.07,6.0,-10.1,-13.0,-8.3,False
20000123,1,1.0176,0.0,6.6,-9.9,-12.1,-7.5,False
20000124,8,-0.099,0.02,0.2,-7.9,-12.9,-4.0,False
20000125,6,1.0137,0.0,0.0,-3.8,-7.6,-1.0,False
20000126,2,1.0075,0.0,5.6,0.1,-3.2,4.1,False
20000127,7,1.0017,0.11,0.0,1.0,0.0,2.6,False
20000128,1,0.9952,0.0,1.8,-1.4,-3.0,2.5,False
20000129,8,0.9721,0.58,0.0,1.5,-3.0,2.5,False
20000130,6,0.9732,0.08,2.4,1.2,-0.5,3.0,False
20000131,5,0.9971,0.0,4.4,-3.4,-4.8,-0.5,False
20000201,4,1.0037,0.08,4.8,-2.8,-4.6,-1.4,False
20000202,7,0.9895,0.02,0.7,-0.8,-1.9,1.3,False
20000203,1,1.0097,0.0,7.6,-3.9,-7.0,-1.2,False
20000204,7,1.0021,0.0,0.0,2.9,-1.5,5.1,False
20000205,7,1.0106,0.0,3.2,2.0,0.5,5.0,False
20000206,5,1.0023,0.0,2.3,5.7,2.2,7.5,False
20000207,7,0.9934,0.28,0.6,4.0,1.5,5.7,False
20000208,4,0.9857,0.0,1.8,2.7,1.5,4.8,False
20000209,5,0.993,0.0,0.1,-0.7,-3.4,1.6,False
20000210,6,1.0028,0.0,3.5,0.7,-3.0,3.8,False
20000211,2,1.0029,0.0,6.2,4.3,2.6,6.3,False
20000212,7,1.0083,0.03,5.8,4.6,3.2,5.7,False
20000213,7,0.9955,0.0,3.0,2.7,1.5,4.4,False
20000214,2,1.0041,0.0,6.6,-0.1,-2.0,2.7,False
20000215,7,0.9994,0.1,0.0,0.2,-2.5,1.5,False
20000216,8,0.9958,0.01,0.0,-0.3,-1.5,1.5,False
20000217,3,0.9999,0.0,6.2,-1.0,-2.0,1.0,False
20000218,5,1.0056,0.0,4.8,-2.6,-5.1,0.8,False
20000219,7,1.0123,0.0,0.0,-2.9,-5.0,-0.8,False
20000220,1,1.0206,0.0,9.1,-2.8,-5.6,-0.6,False
20000221,0,1.0238,0.0,9.4,-3.6,-6.9,-0.7,False
20000222,5,1.0223,0.0,0.0,-2.5,-5.1,-1.0,False
20000223,7,1.0257,0.0,1.1,-2.1,-4.5,-0.4,False
20000224,8,1.0114,0.48,0.0,-0.4,-1.5,0.3,False
20000225,4,1.0043,0.01,6.0,-0.7,-3.2,1.6,False
20000226,4,1.0168,0.0,6.0,-1.1,-5.0,1.9,False
20000227,6,1.0139,0.0,1.4,3.4,0.5,4.5,False
20000228,6,0.9951,0.03,0.0,4.5,3.5,5.7,False
20000229,6,0.9986,0.0,1.0,4.7,2.8,6.6,False
20000301,8,0.9815,0.42,0.0,2.6,1.2,4.7,False
20000302,4,0.9957,0.3,7.5,1.0,-0.2,3.1,False
20000303,6,0.9734,0.72,1.0,1.7,-0.5,3.5,False
20000304,5,0.9896,0.0,7.4,-2.6,-5.4,2.2,False
20000305,4,1.0107,0.0,8.4,-3.5,-4.1,-0.5,False
20000306,8,0.9951,0.66,0.0,1.4,-5.9,6.0,False
20000307,1,0.9904,0.0,10.6,4.6,2.5,7.2,False
20000308,6,0.998,0.18,5.0,0.5,-1.4,4.8,False
20000309,3,0.9985,0.0,5.6,-0.2,-2.3,1.5,False
20000310,4,1.0117,0.0,9.2,1.7,-2.0,3.0,False
20000311,5,1.0112,0.0,9.7,-1.1,-3.4,2.0,False
20000312,6,1.018,0.0,4.3,-0.4,-5.0,3.0,False
20000313,8,1.0086,0.1,0.7,4.0,1.0,7.0,False
20000314,4,0.9966,0.65,7.8,4.8,3.0,7.0,False
20000315,3,1.0045,0.0,7.3,1.0,-1.9,5.2,False
20000316,1,1.0147,0.0,10.2,0.2,-2.8,3.5,False
20000317,4,1.0198,0.0,8.0,0.1,-2.5,2.9,False
20000318,8,1.0234,0.0,0.3,1.0,-2.8,4.9,False
20000319,6,1.025,0.0,2.9,1.9,-1.0,5.0,False
20000320,2,1.0108,0.0,11.1,8.3,2.6,13.4,False
20000321,5,1.011,0.0,4.3,7.1,3.1,11.7,False
20000322,4,1.0081,0.0,10.7,5.0,2.1,8.2,False
20000323,3,1.0077,0.0,9.8,2.4,0.0,6.0,False
20000324,2,1.0147,0.0,9.7,3.3,-1.0,7.2,False
20000325,5,1.0164,0.0,9.7,3.7,0.0,7.7,False
20000326,6,1.0168,0.0,-1.7,1.5,0.0,5.0,False
20000327,7,1.0262,0.0,8.8,0.6,-1.0,2.3,False
20000328,3,1.029,0.0,12.5,0.3,-2.7,3.8,False
20000329,2,1.0265,0.0,12.7,2.1,-3.8,6.8,False
20000330,1,1.0149,0.0,12.6,5.9,-0.3,11.3,False
20000331,4,1.0024,0.0,8.4,7.9,4.2,12.1,False
20000401,6,1.0009,0.0,2.8,2.3,0.8,8.3,False
20000402,8,1.0111,0.08,0.7,-1.1,-2.2,1.0,False
20000403,8,1.0076,0.0,0.0,0.8,-1.5,3.2,False
20000404,8,0.9968,0.52,1.9,5.0,1.2,10.0,False
20000405,5,0.9982,0.17,4.6,1.1,-1.4,5.7,False
20000406,1,1.0158,0.0,13.3,3.7,-1.6,7.0,False
20000407,1,1.0255,0.0,12.8,2.6,-0.6,6.8,False
20000408,1,1.0258,0.0,13.0,2.2,-2.5,6.9,False
20000409,5,1.0213,0.0,3.8,2.4,-2.0,6.2,False
20000410,8,1.0138,0.02,0.0,4.3,2.0,6.8,False
20000411,7,1.0065,0.0,1.4,3.1,1.9,5.6,False
20000412,7,1.0033,0.53,2.1,3.4,0.7,6.8,False
20000413,8,0.99,0.51,0.1,4.3,3.1,7.8,False
20000414,8,0.9904,0.13,0.2,3.5,1.4,5.0,False
20000415,6,1.0004,0.02,2.2,5.8,2.0,9.0,False
20000416,7,1.0037,0.34,3.4,6.0,3.1,9.2,False
20000417,7,1.0066,0.01,3.0,8.3,4.7,12.2,False
20000418,7,1.0102,0.04,0.2,9.3,5.1,13.0,False
20000419,6,1.0168,0.0,7.9,10.5,6.4,15.5,False
20000420,5,1.0145,0.09,6.5,10.3,6.6,13.7,False
20000421,1,1.0158,0.0,13.8,11.3,6.2,17.6,False
20000422,2,1.0159,0.0,12.1,12.6,7.0,16.7,False
20000423,7,1.0119,0.0,2.5,11.9,9.0,15.4,False
20000424,6,1.0103,0.0,8.2,11.5,9.5,15.2,False
20000425,7,1.0104,0.03,1.2,9.2,5.5,12.4,False
20000426,5,1.0187,0.0,8.6,11.5,6.5,18.0,True
20000427,4,1.0228,0.0,10.1,10.2,6.0,15.2,False
20000428,5,1.0247,0.0,8.2,13.1,6.8,20.6,True
20000429,5,1.0238,0.0,13.0,15.7,7.3,22.2,True
20000430,4,1.0266,0.02,11.0,11.1,8.4,19.0,False
20000501,7,1.0316,0.01,0.1,7.8,7.0,10.3,False
20000502,8,1.0302,0.08,0.0,7.3,6.0,9.0,False
20000503,6,1.0216,0.07,0.5,8.7,6.5,11.5,False
20000504,3,1.0226,0.0,15.0,8.1,5.9,14.6,False
20000505,5,1.0172,0.0,11.4,12.2,6.7,19.1,True
20000506,2,1.0245,0.0,15.5,10.3,6.5,14.4,False
20000507,1,1.025,0.0,15.5,11.3,4.5,18.0,True
20000508,2,1.0244,0.0,13.5,13.5,9.5,19.0,True
20000509,1,1.0234,0.0,15.4,15.9,7.6,24.0,True
20000510,4,1.0159,0.15,11.9,17.3,13.0,24.8,False
20000511,3,1.0187,0.0,9.9,10.4,7.6,14.4,False
20000512,3,1.0266,0.0,11.6,7.3,3.1,11.9,False
20000513,4,1.0201,0.0,11.9,13.9,6.9,20.4,True
20000514,3,1.0205,0.0,15.6,15.9,11.5,23.0,True
20000515,2,1.0167,0.0,14.9,16.3,10.0,22.6,True
20000516,3,1.0193,0.0,14.7,12.9,8.2,18.8,True
20000517,3,1.0094,0.0,14.6,16.8,10.2,24.5,True
20000518,5,1.0046,0.29,5.8,15.4,11.8,19.3,False
20000519,8,1.0051,0.35,0.1,12.8,11.0,17.4,False
20000520,7,1.0056,0.2,0.0,12.6,10.2,15.0,False
20000521,6,1.0039,0.0,5.1,13.2,10.0,16.7,False
20000522,7,1.0088,0.13,4.2,12.8,9.2,18.8,False
20000523,5,1.013,0.0,7.9,14.3,10.6,19.0,True
20000524,8,1.0093,0.39,0.1,13.2,10.2,17.4,False
20000525,7,1.0072,0.6,6.7,11.8,9.0,16.4,False
20000526,5,1.0014,0.1,4.9,10.5,7.7,14.0,False
20000527,5,1.0106,0.12,9.8,12.9,9.1,19.2,False
20000528,7,1.0091,0.03,13.7,13.0,8.6,17.1,False
20000529,7,1.0008,0.02,4.1,12.3,10.0,17.0,False
20000530,6,1.0034,0.0,3.0,12.0,9.5,14.7,False
20000531,7,1.0094,0.59,5.5,10.3,8.0,13.7,False
20000601,4,1.0173,0.3,13.4,12.4,7.6,17.1,False
20000602,7,1.0082,0.56,1.3,12.8,9.8,17.0,False
20000603,1,1.0113,0.0,16.2,13.6,10.3,17.3,False
20000604,1,1.0183,0.0,16.2,11.9,8.0,15.8,False
20000605,1,1.0206,0.0,17.5,11.0,7.2,15.8,False
20000606,7,1.0177,0.4,10.6,12.8,7.6,18.1,False
20000607,8,1.0054,1.5,0.0,9.4,8.2,14.3,False
20000608,6,1.0099,0.09,4.8,12.1,8.6,17.1,False
20000609,2,1.0198,0.0,16.6,15.9,10.1,20.8,True
20000610,3,1.0169,0.0,14.6,17.3,12.6,22.5,True
20000611,3,1.008,0.0,13.9,19.2,13.5,25.0,True
20000612,5,1.0085,0.46,7.5,13.9,10.8,22.8,False
20000613,6,1.0104,0.0,4.7,16.1,11.2,21.0,True
20000614,1,1.0096,0.0,16.1,15.8,11.6,20.5,True
20000615,3,1.0064,0.05,12.4,14.6,10.5,19.5,False
20000616,5,1.0115,0.31,8.4,10.6,8.4,15.0,False
20000617,6,1.0226,0.0,5.1,11.7,9.6,14.4,False
20000618,6,1.0234,0.0,10.2,13.9,8.3,20.3,True
20000619,6,1.017,0.0,7.9,17.4,13.4,23.2,True
20000620,6,1.0111,0.0,11.6,20.4,17.2,27.3,True
20000621,6,1.0147,0.0,10.8,18.5,12.8,25.4,True
20000622,8,1.0101,0.38,4.5,19.6,16.0,25.0,False
20000623,4,1.0109,0.0,11.5,17.5,13.2,22.7,True
20000624,5,1.0091,0.0,10.9,17.7,13.1,23.0,True
20000625,8,1.0081,0.1,1.0,15.6,13.0,20.0,False
20000626,7,1.0045,0.0,1.1,15.6,14.0,19.5,True
20000627,7,1.0037,0.0,0.4,12.9,12.0,16.0,False
20000628,3,1.0101,0.0,11.6,14.5,8.5,21.5,True
20000629,8,1.0083,3.58,0.0,12.3,11.0,17.0,False
20000630,8,1.0042,0.0,1.2,14.4,13.0,16.0,False
20000701,5,1.0104,0.03,8.4,14.8,12.1,18.7,False
20000702,7,1.0107,0.07,0.3,13.8,11.0,16.3,False
20000703,2,1.0083,0.0,12.0,19.0,13.0,25.0,True
20000704,3,1.0078,0.0,14.6,21.7,16.6,26.8,True
20000705,7,1.0084,0.22,7.8,20.2,16.4,25.0,False
20000706,5,1.0103,0.0,7.4,17.4,12.5,23.0,True
20000707,7,1.0062,0.03,0.9,16.5,15.3,19.9,False
20000708,6,1.0014,0.21,7.8,15.4,12.8,19.4,False
20000709,4,1.0007,0.15,8.5,15.2,12.5,20.4,False
20000710,6,1.0006,0.57,8.3,15.7,12.4,19.5,False
20000711,7,1.0009,0.58,5.1,16.8,13.5,20.5,False
20000712,8,0.9976,0.78,0.0,15.5,15.0,17.9,False
20000713,8,0.9886,2.02,0.0,15.1,14.5,16.6,False
