DATE,TOURS_wind_speed,TOURS_humidity,TOURS_pressure,TOURS_global_radiation,TOURS_precipitation,TOURS_temp_mean,TOURS_temp_min,TOURS_temp_max,TOURS_picnic_weather
20000101,1.6,0.97,1.0275,0.25,0.04,8.5,7.2,9.8,False
20000102,2.0,0.99,1.0293,0.17,0.16,7.9,6.6,9.2,False
20000103,3.4,0.91,1.0267,0.27,0.0,8.1,6.6,9.6,False
20000104,4.9,0.95,1.0222,0.11,0.44,8.6,6.4,10.8,False
20000105,3.6,0.95,1.0209,0.39,0.04,8.0,6.4,9.5,False
20000106,3.4,0.92,1.0209,0.55,0.2,7.1,3.5,10.7,False
20000107,2.8,0.96,1.0258,0.27,0.0,6.0,3.3,8.8,False
20000108,3.6,0.97,1.021,0.18,0.14,8.2,5.3,11.0,False
20000109,3.0,0.91,1.028,0.43,0.02,5.6,3.7,7.6,False
20000110,1.9,0.94,1.0369,0.58,0.04,1.8,-1.5,5.0,False
20000111,1.8,0.98,1.0383,0.2,0.0,-1.4,-2.0,-0.8,False
20000112,2.4,0.95,1.0296,0.19,0.0,-0.4,-2.7,2.0,False
20000113,3.1,0.92,1.018,0.21,0.08,1.5,-0.6,3.6,False
20000114,4.9,0.92,1.0188,0.52,0.0,3.6,1.0,6.1,False
20000115,6.8,0.88,1.0297,0.72,0.0,3.5,1.1,5.9,False
20000116,6.1,0.83,1.0348,0.65,0.0,1.4,0.0,2.7,False
20000117,3.6,0.9,1.0359,0.35,0.0,3.6,0.8,6.3,False
20000118,3.5,0.87,1.0321,0.14,0.0,4.2,0.9,7.4,False
20000119,4.0,0.81,1.0334,0.36,0.0,4.1,2.2,6.0,False
20000120,2.0,0.78,1.0346,0.29,0.0,3.6,2.2,4.9,False
20000121,2.0,0.8,1.0324,0.25,0.0,4.2,2.7,5.8,False
20000122,4.6,0.87,1.0221,0.31,0.08,3.6,0.7,6.4,False
20000123,3.5,0.88,1.0223,0.35,0.0,2.5,0.1,4.9,False
20000124,2.6,0.87,1.0234,0.36,0.0,1.0,-0.9,2.9,False
20000125,4.9,0.7,1.0272,0.92,0.0,-2.0,-4.5,0.4,False
20000126,4.1,0.7,1.0316,0.92,0.0,-1.8,-5.3,1.7,False
20000127,1.6,0.81,1.0302,0.86,0.02,0.1,-5.6,5.8,False
20000128,3.8,0.87,1.0237,0.82,0.0,2.8,-1.9,7.4,False
20000129,7.8,0.92,1.0173,0.1,0.1,7.4,4.3,10.4,False
20000130,7.0,0.88,1.0264,0.42,0.02,11.0,9.3,12.7,False
20000131,3.6,0.92,1.0289,0.23,0.0,9.3,8.5,10.1,False
20000201,2.6,0.96,1.0216,0.2,0.84,7.2,6.6,7.7,False
20000202,3.6,0.94,1.0241,0.13,0.26,8.2,5.9,10.4,False
20000203,1.2,0.87,1.0377,0.59,0.0,3.6,-0.8,8.0,False
20000204,2.0,0.86,1.0367,0.99,0.02,5.3,0.0,10.6,False
20000205,2.8,0.77,1.0295,0.95,0.0,8.3,0.7,15.9,False
20000206,4.6,0.94,1.0244,0.28,0.18,7.0,4.4,9.7,False
20000207,6.5,0.94,1.0221,0.27,0.48,8.4,5.5,11.4,False
20000208,7.4,0.89,1.019,0.14,1.06,11.3,10.3,12.3,False
20000209,3.6,0.81,1.0307,1.07,0.02,8.0,4.5,11.4,False
20000210,4.6,0.91,1.0239,0.38,0.5,6.0,1.7,10.4,False
20000211,2.1,0.83,1.0313,1.21,0.02,4.0,-0.6,8.7,False
20000212,5.1,0.87,1.0287,0.91,0.44,3.5,-1.8,8.8,False
20000213,4.8,0.97,1.0237,0.34,0.38,7.8,6.4,9.3,False
20000214,3.4,0.98,1.0239,0.36,0.24,8.8,6.5,11.1,False
20000215,5.1,0.91,1.0194,0.28,1.2,9.5,8.5,10.5,False
20000216,6.9,0.8,1.0135,0.62,0.1,5.4,3.0,7.9,False
20000217,5.4,0.76,1.0159,1.15,0.12,6.6,2.7,10.4,False
20000218,8.1,0.87,1.0125,0.38,0.1,9.0,5.5,12.6,False
20000219,4.9,0.86,1.0182,0.73,0.52,8.0,6.2,9.7,False
20000220,1.5,0.8,1.0301,1.43,0.0,4.2,-0.8,9.1,False
20000221,0.9,0.76,1.0295,1.16,0.0,3.8,-1.6,9.3,False
20000222,1.8,0.72,1.0257,1.16,0.0,5.4,-0.6,11.4,False
20000223,3.0,0.85,1.0264,0.49,0.0,6.8,4.4,9.3,False
20000224,4.5,0.93,1.0277,0.5,0.04,10.5,8.5,12.5,False
20000225,4.1,0.91,1.0296,0.34,0.0,8.8,7.8,9.9,False
20000226,1.8,0.93,1.0299,0.39,0.02,7.7,6.1,9.3,False
20000227,3.9,0.83,1.023,1.39,0.0,10.8,2.9,18.8,True
20000228,5.5,0.88,1.0203,0.39,0.78,9.8,7.9,11.6,False
20000229,7.1,0.91,1.0128,0.25,1.36,7.9,5.6,10.2,False
20000301,5.5,0.84,1.0143,0.9,0.26,7.6,5.2,10.0,False
20000302,4.6,0.78,1.0264,1.31,0.0,5.0,-0.1,10.0,False
20000303,7.1,0.89,1.0171,0.39,0.88,9.1,7.4,10.8,False
20000304,2.9,0.7,1.0284,1.58,0.0,4.7,1.3,8.1,False
20000305,2.4,0.65,1.0349,1.78,0.0,3.9,-1.6,9.4,False
20000306,2.0,0.64,1.0308,1.81,0.0,5.2,-0.7,11.1,False
20000307,1.1,0.7,1.0304,1.78,0.0,6.8,-1.7,15.3,False
20000308,2.6,0.69,1.032,1.72,0.0,9.6,2.6,16.6,False
20000309,3.8,0.84,1.0316,1.77,0.0,8.9,2.8,15.0,False
20000310,2.4,0.89,1.0305,0.74,0.0,10.4,8.6,12.2,False
20000311,2.9,0.8,1.0247,1.74,0.0,10.4,5.6,15.3,False
20000312,4.4,0.74,1.0247,1.81,0.0,9.4,5.5,13.3,False
20000313,3.0,0.72,1.0274,1.85,0.0,8.9,2.9,14.9,False
20000314,4.0,0.81,1.0279,1.42,0.0,10.5,4.2,16.9,False
20000315,3.5,0.72,1.0335,1.75,0.0,7.4,3.7,11.0,False
20000316,2.6,0.81,1.0342,1.53,0.0,5.4,0.0,10.8,False
20000317,3.4,0.78,1.0316,1.03,0.0,7.6,2.5,12.7,False
20000318,4.5,0.71,1.0313,0.69,0.0,9.0,7.4,10.7,False
20000319,4.8,0.73,1.03,1.25,0.0,7.2,3.0,11.3,False
20000320,6.0,0.66,1.0238,2.01,0.0,8.7,4.2,13.2,False
20000321,3.1,0.61,1.0187,2.07,0.0,8.9,1.1,16.7,False
20000322,2.9,0.59,1.0153,2.04,0.0,10.5,3.2,17.7,False
20000323,3.8,0.73,1.0097,1.08,0.3,12.4,9.1,15.7,False
20000324,5.0,0.82,1.012,0.93,0.4,11.4,8.6,14.2,False
20000325,3.8,0.86,1.0149,0.93,0.22,9.9,7.9,11.9,False
20000326,5.1,0.82,1.0111,1.3,0.54,7.8,4.0,11.7,False
20000327,2.6,0.88,1.01,0.89,0.56,6.1,2.9,9.3,False
20000328,4.4,0.84,1.0127,0.79,0.16,5.5,1.4,9.7,False
20000329,2.8,0.82,1.0117,0.73,0.0,5.0,3.6,6.5,False
20000330,2.4,0.82,1.0128,0.88,0.02,5.0,1.6,8.4,False
20000331,3.0,0.82,1.0075,1.72,0.16,6.5,0.5,12.5,False
20000401,4.2,0.82,1.0049,1.41,0.02,8.6,4.9,12.4,False
20000402,5.0,0.64,0.9931,1.94,0.04,10.6,3.3,18.0,False
20000403,3.6,0.82,0.9867,0.83,0.26,11.6,8.2,15.0,False
20000404,4.8,0.82,0.9932,1.14,0.06,8.8,4.5,13.2,False
20000405,3.6,0.85,1.0127,0.25,0.02,4.6,3.6,5.5,False
20000406,4.5,0.7,1.0255,1.47,0.0,6.2,4.1,8.4,False
20000407,5.9,0.57,1.0266,2.65,0.0,7.4,-0.2,15.1,False
20000408,5.1,0.58,1.0173,2.67,0.0,10.6,2.6,18.6,True
20000409,2.6,0.8,1.0065,0.87,0.12,8.6,4.0,13.3,False
20000410,5.2,0.69,1.006,2.11,0.0,11.4,7.0,15.9,False
20000411,5.2,0.77,0.9977,1.58,0.38,6.8,2.1,11.4,False
20000412,6.8,0.8,0.9947,1.7,0.18,6.8,2.4,11.3,False
20000413,6.2,0.78,0.9988,1.71,0.5,8.6,3.9,13.3,False
20000414,5.2,0.92,0.9963,0.56,0.68,8.2,5.2,11.3,False
20000415,8.1,0.73,0.998,1.29,0.3,9.4,7.0,11.9,False
20000416,4.9,0.82,0.9954,0.94,0.16,7.8,1.7,14.0,False
20000417,6.5,0.8,1.0046,1.88,0.3,10.0,6.4,13.5,False
20000418,5.8,0.81,1.0057,1.68,0.34,11.5,7.2,15.9,False
20000419,5.1,0.74,1.0119,2.4,0.0,11.3,6.3,16.3,False
20000420,3.6,0.79,1.0115,1.45,0.18,15.8,11.1,20.4,False
20000421,2.9,0.68,1.0139,2.21,0.54,14.2,9.2,19.2,False
20000422,2.8,0.93,1.0097,0.63,1.22,13.2,11.9,14.5,False
20000423,4.0,0.84,1.0127,1.57,0.22,11.8,8.9,14.8,False
20000424,3.4,0.72,1.0128,2.39,0.0,10.6,5.1,16.0,False
20000425,4.2,0.7,1.0071,1.88,0.56,16.3,11.4,21.3,False
20000426,3.9,0.87,1.0087,1.1,0.18,12.5,9.8,15.2,False
20000427,2.9,0.96,1.0074,0.36,1.76,10.0,8.4,11.5,False
20000428,3.9,0.89,1.0094,0.63,0.04,10.4,8.6,12.1,False
20000429,2.1,0.75,1.0157,2.66,0.02,11.5,4.5,18.5,False
20000430,4.1,0.74,1.0175,2.82,0.0,13.8,6.6,21.1,True
20000501,6.4,0.77,1.0165,2.44,0.4,17.7,12.1,23.2,False
20000502,6.0,0.88,1.0177,1.23,0.0,14.4,11.2,17.6,False
20000503,4.9,0.92,1.0177,0.63,0.0,12.8,11.1,14.6,False
20000504,5.5,0.9,1.0144,1.82,0.0,15.5,11.8,19.2,True
20000505,3.5,0.84,1.0095,1.88,0.04,18.0,12.7,23.4,False
20000506,2.9,0.8,1.0105,2.12,0.0,16.7,11.6,21.8,True
20000507,1.9,0.82,1.0131,2.27,0.1,17.8,12.8,22.9,False
20000508,2.2,0.78,1.0155,2.19,0.0,17.2,11.2,23.3,True
20000509,2.8,0.73,1.0144,2.61,0.86,19.0,13.6,24.4,False
20000510,3.4,0.84,1.0119,2.26,0.48,18.8,14.3,23.3,False
20000511,3.6,0.88,1.0136,1.68,0.38,16.8,14.2,19.5,False
20000512,1.9,0.77,1.0193,2.19,0.04,18.0,13.9,22.0,False
20000513,1.2,0.83,1.0206,1.62,0.02,17.2,13.5,20.8,False
20000514,1.9,0.76,1.0207,2.9,0.0,18.0,10.7,25.3,True
20000515,1.9,0.67,1.0172,3.04,0.0,20.8,14.2,27.4,True
20000516,4.1,0.82,1.0143,1.9,0.24,18.4,15.4,21.5,False
20000517,4.1,0.72,1.017,2.51,0.0,14.4,11.1,17.6,False
20000518,5.1,0.78,1.0136,1.69,0.12,13.0,9.1,16.9,False
20000519,5.1,0.77,1.0144,1.51,0.0,10.6,6.4,14.7,False
20000520,1.6,0.7,1.0136,2.61,0.0,12.3,6.6,18.0,True
20000521,5.1,0.77,1.0127,2.06,0.16,13.8,10.9,16.8,False
20000522,2.5,0.76,1.0198,1.63,0.0,11.6,6.0,17.1,False
20000523,3.1,0.74,1.0197,2.89,0.0,13.8,7.5,20.1,True
20000524,4.5,0.7,1.0167,2.54,0.12,16.3,10.4,22.2,False
20000525,4.2,0.76,1.0166,2.42,0.06,15.8,13.8,17.9,False
20000526,6.2,0.74,1.0117,1.84,0.0,14.2,7.9,20.6,True
20000527,6.8,0.66,1.0138,2.41,0.2,12.6,7.7,17.6,False
20000528,6.0,0.68,1.0114,2.53,0.02,13.6,10.5,16.8,False
20000529,3.5,0.7,1.0183,2.35,0.28,11.2,5.7,16.6,False
20000530,6.1,0.96,1.0137,0.56,0.92,13.2,10.8,15.7,False
20000531,2.9,0.85,1.02,1.7,0.18,15.6,12.3,18.8,False
20000601,2.8,0.85,1.0207,2.06,0.02,17.3,12.0,22.6,False
20000602,2.9,0.79,1.017,2.99,0.0,20.9,14.3,27.5,True
20000603,2.6,0.83,1.016,1.72,0.06,21.3,17.4,25.2,False
20000604,3.2,0.88,1.0185,1.22,1.42,16.6,14.1,19.0,False
20000605,3.6,0.93,1.0187,0.74,0.84,13.4,11.8,15.0,False
20000606,3.6,0.8,1.0244,2.75,0.0,14.3,10.4,18.2,True
20000607,2.2,0.72,1.0239,3.47,0.0,15.0,9.8,20.2,True
20000608,4.2,0.63,1.0119,3.52,0.0,17.9,9.5,26.3,True
20000609,3.9,0.81,1.0116,1.76,0.94,18.6,14.2,23.0,False
20000610,3.4,0.82,1.0185,1.53,0.0,14.6,11.6,17.6,False
20000611,2.9,0.78,1.0227,2.23,0.0,14.3,8.5,20.1,True
20000612,2.1,0.75,1.0281,3.28,0.02,15.8,8.3,23.2,False
20000613,2.9,0.77,1.0264,3.03,0.0,19.7,13.3,26.1,True
20000614,2.0,0.83,1.0267,2.47,0.02,19.6,14.5,24.6,False
20000615,1.9,0.75,1.0259,3.39,0.0,20.3,13.6,27.0,True
20000616,3.8,0.74,1.0248,3.39,0.0,20.2,14.1,26.2,True
20000617,4.8,0.6,1.0247,3.55,0.0,20.6,13.6,27.5,True
20000618,4.1,0.54,1.0198,3.56,0.0,22.0,12.5,31.6,True
20000619,3.1,0.56,1.0168,3.41,0.0,24.8,18.0,31.5,True
20000620,3.9,0.62,1.0137,3.05,0.0,23.4,17.8,29.0,True
20000621,4.5,0.71,1.0162,1.84,0.0,19.8,15.8,23.9,True
20000622,5.5,0.65,1.0195,2.32,0.0,17.6,13.3,22.0,True
20000623,4.5,0.71,1.0219,1.94,0.04,17.1,13.8,20.4,False
20000624,3.8,0.71,1.0209,1.65,0.06,15.4,12.2,18.6,False
20000625,1.6,0.78,1.0207,1.23,0.04,14.4,11.2,17.6,False
20000626,4.8,0.58,1.0221,3.42,0.0,16.2,10.5,21.9,True
20000627,5.8,0.5,1.0173,3.38,0.0,17.2,10.5,23.9,True
20000628,2.2,0.55,1.0175,2.99,0.0,19.0,13.5,24.5,True
20000629,2.2,0.64,1.0187,2.26,0.0,20.1,15.5,24.7,True
20000630,1.6,0.74,1.0134,2.59,0.0,19.9,13.9,25.9,True
20000701,3.1,0.75,1.0107,2.46,0.0,19.6,13.5,25.7,True
20000702,2.6,0.82,1.0102,1.9,0.42,18.8,13.7,23.8,False
20000703,2.6,0.74,1.0088,2.91,0.66,19.8,14.4,25.3,False
20000704,5.4,0.81,1.0094,2.16,0.42,18.3,14.4,22.3,False
20000705,4.5,0.7,1.0166,2.94,0.0,18.8,13.9,23.8,True
20000706,4.4,0.65,1.0138,2.94,0.0,19.2,11.8,26.7,True
20000707,4.8,0.8,1.0129,1.86,0.04,19.8,16.2,23.3,False
20000708,3.6,0.72,1.0199,2.26,0.02,14.6,8.5,20.7,False
20000709,6.0,0.95,1.0072,0.57,2.98,15.2,12.6,17.7,False
20000710,5.5,0.85,1.0012,1.8,0.58,16.4,12.3,20.4,False
20000711,3.6,0.88,1.0084,1.38,1.02,13.9,11.1,16.7,False
20000712,3.6,0.7,1.019,2.79,0.04,13.4,6.3,20.4,False
20000713,4.9,0.86,1.0165,1.25,0.04,17.2,13.2,21.1,False
20000714,5.9,0.77,1.0144,1.61,0.04,16.8,13.6,20.0,False
20000715,4.0,0.69,1.0154,2.61,0.0,15.4,10.9,20.0,True
20000716,2.1,0.71,1.0186,1.83,0.0,13.8,8.6,19.0,True
20000717,3.2,0.7,1.0193,2.79,0.02,14.4,7.5,21.2,False
20000718,3.1,0.64,1.0198,2.83,0.0,16.2,9.9,22.5,True
20000719,3.2,0.65,1.02,2.69,0.0,17.7,11.4,24.0,True
20000720,3.5,0.6,1.0207,3.0,0.0,19.2,12.1,26.2,True
20000721,6.4,0.56,1.0198,3.3,0.0,20.0,14.0,26.1,True
20000722,7.1,0.63,1.0132,2.76,0.0,19.9,13.5,26.3,True
20000723,2.8,0.76,1.0084,1.45,0.6,20.1,14.8,25.4,False
20000724,4.1,0.8,1.0066,1.6,0.0,19.6,15.6,23.6,True
20000725,1.4,0.9,1.007,1.14,0.6,17.2,14.0,20.3,False
20000726,3.9,0.81,1.0111,1.85,0.48,19.8,15.4,24.3,False
20000727,3.2,0.88,1.016,1.14,0.1,17.5,14.9,20.1,False
20000728,4.4,0.78,1.0181,2.44,0.0,20.1,15.6,24.6,True
20000729,4.0,0.75,1.021,1.95,0.0,18.0,13.7,22.2,True
20000730,1.6,0.73,1.0239,3.09,0.02,18.3,12.3,24.3,False
20000731,2.1,0.65,1.0217,3.16,0.0,20.0,12.4,27.6,True
